date#venue#score#result#competition
3 july 1972#laugardalsvöllur , reykjavík , iceland#2 - 2#5 - 2#friendly
3 july 1972#laugardalsvöllur , reykjavík , iceland#4 - 2#5 - 2#friendly
27 august 1972#drei flüsse stadion , passau , germany#1 - 0#3 - 2#1972 summer olympics
27 august 1972#drei flüsse stadion , passau , germany#3 - 2#3 - 2#1972 summer olympics
29 august 1972#rosenaustadion , augsburg , germany#2 - 0#4 - 0#1972 summer olympics
3 september 1974#idrætsparken , copenhagen , denmark#4 - 0#9 - 0#friendly
23 may 1976#tsirion stadium , limassol , cyprus#1 - 1#5 - 1#1978 world cup qualification
1 may 1977#idrætsparken , copenhagen , denmark#1 - 1#1 - 2#1978 world cup qualification
15 june 1977#idrætsparken , copenhagen , denmark#2 - 1#2 - 1#1972 - 77 nordic championship
20 september 1978#idrætsparken , copenhagen , denmark#1 - 2#3 - 4#1980 european championship qualification
6 june 1979#idrætsparken , copenhagen , denmark#3 - 0#4 - 0#1980 european championship qualification
21 may 1980#idrætsparken , copenhagen , denmark#1 - 1#2 - 2#friendly
19 november 1980#idrætsparken , copenhagen , denmark#4 - 0#4 - 0#1982 world cup qualification
15 april 1981#idrætsparken , copenhagen , denmark#1 - 1#2 - 1#friendly
26 august 1981#idrætsparken , copenhagen , denmark#2 - 0#3 - 0#friendly
26 august 1981#idrætsparken , copenhagen , denmark#3 - 0#3 - 0#friendly
1 june 1983#idrætsparken , copenhagen , denmark#3 - 1#3 - 1#1984 european championship qualification
21 september 1983#wembley stadium , london , uk#1 - 0#1 - 0#1984 european championship qualification
12 october 1983#idrætsparken , copenhagen , denmark#4 - 0#6 - 0#1984 european championship qualification
16 november 1983#olympic stadium , athens , greece#2 - 0#2 - 0#1984 european championship qualification
