driver#constructor#laps#time / retired#grid
jacques villeneuve#williams - renault#70#1:40:22.915#2
damon hill#williams - renault#70#+ 19.966#1
michael schumacher#ferrari#70#+ 53.765#4
jean alesi#benetton - renault#70#+ 55.109#3
eddie irvine#ferrari#70#+ 1:27.389#6
gerhard berger#benetton - renault#70#+ 1:33.141#5
heinz - harald frentzen#sauber - ford#69#+ 1 lap#11
johnny herbert#sauber - ford#69#+ 1 lap#12
martin brundle#jordan - peugeot#69#+ 1 lap#10
olivier panis#ligier - mugen - honda#69#+ 1 lap#15
mika salo#tyrrell - yamaha#69#+ 1 lap#13
ukyo katayama#tyrrell - yamaha#68#+ 2 laps#14
david coulthard#mclaren - mercedes#68#+ 2 laps#8
ricardo rosset#footwork - hart#67#+ 3 laps#17
giovanni lavaggi#minardi - ford#65#+ 5 laps#20
pedro lamy#minardi - ford#65#+ 5 laps#19
mika hã¤kkinen#mclaren - mercedes#52#collision#7
jos verstappen#footwork - hart#47#engine#16
pedro diniz#ligier - mugen - honda#46#collision#18
rubens barrichello#jordan - peugeot#41#spun off#9
