place#player#country#score#to par
1#justin leonard#united states#72 + 66 + 69 = 207#- 9
2#rich beem#united states#72 + 66 + 72 = 210#- 6
3#fred funk#united states#68 + 70 + 73 = 211#- 5
t4#mark calcavecchia#united states#70 + 68 + 74 = 212#- 4
t4#tiger woods#united states#71 + 69 + 72 = 212#- 4
6#chris riley#united states#71 + 70 + 72 = 213#- 3
t7#josé cóceres#argentina#72 + 71 + 72 = 215#- 1
t7#steve lowery#united states#71 + 71 + 73 = 215#- 1
t7#rocco mediate#united states#72 + 73 + 70 = 215#- 1
t10#jim furyk#united states#68 + 73 + 76 = 217#+ 1
t10#retief goosen#south africa#69 + 69 + 79 = 217#+ 1
t10#peter lonard#australia#69 + 73 + 75 = 217#+ 1
