name#species authority#order#family#red list
american beaver#castor canadensis kuhl , 1820#ia rodent#castoridae#7
southeastern pocket gopher#geomys pinetis rafinesque , 1817#rodentia#geomyidae#7
capybara#hydrochaeris hydrochaeris (linnaeus , 1766)#rodentia#hydrochaeridae#7
oldfield mouse#peromyscus polionotus (wagner , 1843)#rodentia#muridae#7
cotton mouse#peromyscus gossypinus (le conte , 1850)#rodentia#muridae#7
eastern harvest mouse#reithrodontomys humilis (audubon & bachman , 1941)#rodentia#muridae#7
florida woodrat#neotoma floridana (ord , 1818)#rodentia#muridae#7
florida mouse#podomys floridanus (chapman , 1889)#rodentia#muridae#5
meadow vole#microtus pennsylvanicus (ord , 1815)#rodentia#muridae#7
golden mouse#ochrotomys nuttalli (harlan , 183) 2#rodentia#muridae#7
hispid cotton rat#sigmodon hispidus say & ord , 1825#rodentia#muridae#7
house mouse#mus musculus linnaeus , 1758#rodentia#muridae#7
marsh rice rat#oryzomys palustris (harlan , 1837)#rodentia#muridae#7
brown rat#rattus norvegicus (berkenhout , 1769)#rodentia#muridae#7
woodland vole#microtus pinetorum (le conte , 1830)#rodentia#muridae#7
black rat#rattus rattus (linnaeus , 1758)#rodentia#muridae#7
round - tailed muskrat#neofiber alleni true , 1884#rodentia#muridae#6
coypu#myocastor coypus (molina , 1782)#rodentia#myocastoridae#7
eastern chipmunk#tamias striatus (linnaeus , 1758)#rodentia#sciuridae#7
eastern gray squirrel#sciurus carolinensis gmelin , 1788#rodentia#sciuridae#7
fox squirrel#sciurus niger linnaeus , 1758#rodentia#sciuridae#7
mexican gray squirrel#sciurus aureogaster f cuvier , 1829#rodentia#sciuridae#7
southern flying squirrel#glaucomys volans (linnaeus , 1758)#rodentia#sciuridae#7
