res#record#opponent#method#event#round#time#location
win#26 - 10#christopher curtis#decision (unanimous)#naafs - fight night in the flats 9#3#5:00#cleveland , ohio , united states
loss#25 - 10#jordan mein#tko (knees and elbows)#score fighting series 7#1#1:29#hamilton , ontario , canada
win#25 - 9#sergej juskevic#tko (punches)#score fighting series 4#2#3:25#hamilton , ontario , canada
win#24 - 9#rudy bears#tko (punches)#c3 fights - great plains sizzling slamfest#1#2:55#newkirk , oklahoma , united states
win#23 - 9#john kolosci#tko (punches)#hfc 7: validation#2#0:56#valparaiso , indiana , united states
win#22 - 9#herbert goodman#decision (unanimous)#ultimate cage battle : pride & glory#3#5:00#parma , ohio , united states
loss#21 - 9#brian foster#tko (punches)#ufc fight night : marquardt vs palhares#1#1:07#austin , texas , united states
loss#21 - 8#daniel roberts#decision (split)#ufc 116#3#5:00#las vegas , nevada , united states
win#21 - 7#ralph johnson#decision (unanimous)#moosin : god of martial arts#3#5:00#massachusetts , united states
win#20 - 7#brendan seguin#decision (unanimous)#naafs - night of champions#5#5:00#ohio , united states
win#19 - 7#chad reiner#tko (punches)#adrenaline mma 4: sylvia vs riley#1#2:28#iowa , united states
win#18 - 7#tiawan howard#tko (punches)#naafs - fight nite in the flats 5#3#3:01#ohio , united states
loss#17 - 7#victor o'donnell#submission (rear naked choke)#icf : breakout#2#4:46#ohio , united states
loss#17 - 6#tj grant#submission (arm triangle choke)#tko 35: quenneville vs hioki#2#3:55#montreal , canada
win#17 - 5#brian gassaway#decision (unanimous)#adrenaline mma : guida vs russow#3#5:00#illinois , united states
loss#16 - 5#josh burkman#decision (split)#ufc 77#3#5:00#ohio , united states
win#16 - 4#luigi fioravanti#decision (unanimous)#ufc fight night 10#3#5:00#hollywood , florida , united states
loss#15 - 4#kuniyoshi hironaka#decision (unanimous)#ufc fight night 9#3#5:00#nevada , united states
loss#15 - 3#marcus davis#submission (guillotine choke)#ortiz vs shamrock 3: the final chapter#1#4:58#hollywood , florida , united states
win#15 - 2#sammy morgan#decision (unanimous)#ufc fight night 6#3#5:00#nevada , united states
win#14 - 2#dan hardy#decision (unanimous)#ff 2 - fightfest 2#5#5:00#ohio , united states
win#13 - 2#daniel moraes#tko (wouldn't stand up from butt scoot)#gfc - team gracie vs team hammer house#3#2:33#ohio , united states
win#12 - 2#wayne hajicek#submission (rear naked choke)#ff 1 - royce gracie fightfest#1#0:35#evansville , indiana , united states
loss#11 - 2#josh neer#submission (triangle choke)#ffc 15 - fiesta las vegas#1#3:25#nevada , united states
win#11 - 1#charles bennett#submission (choke)#kotc - payback#1#3:40#ohio , united states
win#10 - 1#rhomez brower#ko#kotc - indiana#1#n / a#indiana , united states
loss#9 - 1#jake short#decision#ffc 12 - freestyle fighting championships 12#3#n / a#indiana , united states
win#9 - 0#adrian serrano#submission (verbal)#fcc 15 - freestyle combat challenge 15#2#2:06#wisconsin , united states
win#8 - 0#mike o'donnell#tko#kotc 34 - ohio#1#n / a#ohio , united states
win#7 - 0#leo sylvest#tko#acc 1 - absolute combat challenge 1#2#0:14#ohio , united states
win#6 - 0#joe thomas#ko#acc 1 - absolute combat challenge 1#2#0:09#ohio , united states
win#5 - 0#chris wells#decision (unanimous)#midevils mayhem 1#2#5:00#newport , kentucky , united states
win#4 - 0#tierre hall#submission#hhfn - hammer house fight night#1#n / a#ohio , united states
win#3 - 0#daniel mcrae#tko (punches)#rage on the river 1#1#3:42#portsmouth , ohio , united states
win#2 - 0#ed willis#submission (punches)#etc - july 2002#1#0:47#mt healthy , ohio , united states
win#1 - 0#chad roarke#tko (punches)#dangerzone - fight night 2#1#1:44#indiana , united states
