date#opponent#score#loss#attendance#record#arena#points
december 2#oilers#4 - 0#giguere (9 - 8 - 2)#17174#12 - 12 - 4#honda center#28
december 5#sabres#4 - 1#miller (10 - 11 - 1)#17174#13 - 12 - 4#honda center#30
december 7#blackhawks#5 - 3#khabibulin (10 - 8 - 2)#17734#14 - 12 - 4#united center#32
december 8#predators#4 - 2#hiller (1 - 2 - 1)#13469#14 - 13 - 4#sommet center#32
december 10#blue jackets#4 - 3#leclaire (10 - 6 - 3)#11984#15 - 13 - 4#nationwide arena#34
december 12#canucks#3 - 2#giguere (12 - 9 - 2)#17174#15 - 14 - 4#honda center#34
december 14#wild#5 - 2#giguere (12 - 10 - 2)#17174#15 - 15 - 4#honda center#34
december 16#sharks#2 - 1#giguere (12 - 10 - 3)#17174#15 - 15 - 5#honda center#35
december 18#sharks#2 - 0#nabokov (18 - 11 - 4)#17197#16 - 15 - 5#hp pavilion at san jose#37
december 19#avalanche#2 - 1#budaj (12 - 6 - 1)#17174#17 - 15 - 5#honda center#39
december 22#sharks#5 - 2#nabokov (18 - 12 - 5)#17496#18 - 15 - 5#hp pavilion at san jose#41
december 27#oilers#2 - 1#garon (9 - 8 - 1)#16839#19 - 15 - 5#rexall place#43
december 29#flames#5 - 3#giguere (15 - 11 - 3)#19289#19 - 16 - 5#pengrowth saddledome#43
december 30#canucks#2 - 1#hiller (2 - 3 - 1)#18630#19 - 17 - 5#general motors place#43
