place#player#country#score#to par
1#bobby clampett#united states#67#- 5
t2#nick price#zimbabwe#69#- 3
t2#tom watson#united states#69#- 3
t4#ken brown#scotland#70#- 2
t4#bernhard langer#west germany#70#- 2
t4#des smyth#ireland#70#- 2
t7#seve ballesteros#spain#71#- 1
t7#josé maria cañizares#spain#71#- 1
t7#danny edwards#united states#71#- 1
t7#masahiro kuramoto#japan#71#- 1
t7#johnny miller#united states#71#- 1
t7#arnold palmer#united states#71#- 1
t7#craig stadler#united states#71#- 1
