record#date#driver#time#speed / avg. speed
nascar sprint cup series#nascar sprint cup series#nascar sprint cup series#nascar sprint cup series#nascar sprint cup series
qualifying#april 19 , 2013#matt kenseth#28.145#-
race#april 22 , 2012#denny hamlin#2:54:02#-
nascar nationwide series#nascar nationwide series#nascar nationwide series#nascar nationwide series#nascar nationwide series
qualifying#october 20 , 2012#joey logano#29.522#-
race#september 29 , 2001#jeff green#2:19:24#-
nascar camping world truck series#nascar camping world truck series#nascar camping world truck series#nascar camping world truck series#nascar camping world truck series
qualifying#april 20 , 2013#james buescher#30.285#-
race#july 7 , 2001#ricky hendrick#2:00:09#-
izod indycar series#izod indycar series#izod indycar series#izod indycar series#izod indycar series
qualifying#july 6 , 2003#scott dixon#24.761#-
race#april 29 , 2007#dan wheldon#1:36:56#-
grand am rolex sports car series (road course)#grand am rolex sports car series (road course)#grand am rolex sports car series (road course)#grand am rolex sports car series (road course)#grand am rolex sports car series (road course)
qualifying#august 16 , 2013#scott pruett#1:09.883#-
race#august 17 , 2013#scott pruett#1:09.745#-
