outcome#date#tournament#surface#opponent#score
runner - up#6 october 2003#bari , italy#clay#bettina pirker#6 - 2 , 7 - 5
runner - up#14 june 2005#lenzerheide , switzerland#clay#danica krstajić#6 - 2 , 7 - 5
runner - up#1 may 2006#catania , italy#clay#maría josé martínez sánchez#6 - 3 , 4 - 6 , 6 - 4
winner#25 july 2006#monteroni d'arbia , italy#clay#edina gallovits - hall#6 - 2 , 6 - 1
runner - up#31 july 2006#martina franca , italy#clay#margalita chakhnashvili#6 - 3 , 7 - 5
runner - up#13 march 2007#orange , usa#hard#naomi cavaday#6 - 1 , 6 - 1
runner - up#3 april 2007#dinan , france#clay (i)#maša zec peškirič#6 - 4 , 6 - 2
runner - up#9 april 2007#civitavecchia , italy#clay#darya kustova#3 - 6 , 6 - 4 , 6 - 4
runner - up#9 july 2007#biella , italy#clay#agnieszka radwańska#6 - 3 , 6 - 3
runner - up#11 october 2010#settimo san pietro , italy#clay#anastasia grymalska#4 - 6 , 6 - 2 , 7 - 5
winner#18 october 2010#seville , spain#clay#andrea gámiz#6 - 0 , 6 - 1
runner - up#16 november 2010#mallorca , spain#clay#diana enache#6 - 4 , 6 - 2
winner#7 june 2011#campobasso , italy#clay#alizé lim#6 - 2 , 6 - 4
runner - up#14 june 2011#padova , italy#clay#kristina mladenovic#3 - 6 , 6 - 4 , 6 - 0
winner#20 june 2011#rome , italy#clay#laura thorpe#6 - 3 , 6 - 0
runner - up#27 august 2012#bagnatica , italy#clay#maria - elena camerin#7 - 6 (5) , 6 - 4
winner#4 september 2012#mestre , italy#clay#estrella cabeza candela#6 - 1 , 3 - 6 , 6 - 1
runner - up#12 may 2013#trnava , slovakia#clay#barbora záhlavová - strýcová#6 - 2 , 6 - 4
