year (s)#final television commentator#radio commentator#spokesperson#semi - final television commentator#semi - final second television commentator
1956#wilfrid thomas#unknown#uk did not participate#no semi - finals#no semi - finals
1957#berkeley smith#tom sloan#david jacobs#no semi - finals#no semi - finals
1958#peter haigh#tom sloan#uk did not participate#no semi - finals#no semi - finals
1959#tom sloan#pete murray#pete murray#no semi - finals#no semi - finals
1960#david jacobs#pete murray#nick burrell - davis#no semi - finals#no semi - finals
1961#tom sloan#pete murray#michael aspel#no semi - finals#no semi - finals
1962#david jacobs#peter haigh#alex macintosh#no semi - finals#no semi - finals
1963#david jacobs#michael aspel#nicholas parsons#no semi - finals#no semi - finals
1964#david jacobs#tom sloan#michael aspel#no semi - finals#no semi - finals
1965#david jacobs#david gell#michael aspel#no semi - finals#no semi - finals
1966#david jacobs#john dunn#michael aspel#no semi - finals#no semi - finals
1967#rolf harris#richard baker#michael aspel#no semi - finals#no semi - finals
1968#no commentator#pete murray#michael aspel#no semi - finals#no semi - finals
1969#michael aspel#tony brandon#colin - ward lewis#no semi - finals#no semi - finals
1970#david gell#tony brandon#colin - ward lewis#no semi - finals#no semi - finals
1971#dave lee travis#terry wogan#no spokesperson#no semi - finals#no semi - finals
1972#tom fleming#pete murray#no spokesperson#no semi - finals#no semi - finals
1973#terry wogan#pete murray#no spokesperson#no semi - finals#no semi - finals
1974#david vine#terry wogan#colin - ward lewis#no semi - finals#no semi - finals
1975#pete murray#terry wogan#ray moore#no semi - finals#no semi - finals
1976#michael aspel#terry wogan#ray moore#no semi - finals#no semi - finals
1977#pete murray#terry wogan#colin berry#no semi - finals#no semi - finals
1978#terry wogan#ray moore#colin berry#no semi - finals#no semi - finals
1979#john dunn#terry wogan#colin berry#no semi - finals#no semi - finals
1980#terry wogan#steve jones#ray moore#no semi - finals#no semi - finals
1981#terry wogan#ray moore#colin berry#no semi - finals#no semi - finals
1982#terry wogan#ray moore#colin berry#no semi - finals#no semi - finals
1983#terry wogan#ray moore#colin berry#no semi - finals#no semi - finals
1984#terry wogan#ray moore#colin berry#no semi - finals#no semi - finals
1985#terry wogan#ray moore#colin berry#no semi - finals#no semi - finals
1986#terry wogan#ray moore#colin berry#no semi - finals#no semi - finals
1987#terry wogan#ray moore#colin berry#no semi - finals#no semi - finals
1988#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1989#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1990#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1991#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1992#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1993#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1994#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1995#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1996#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1997#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
1998#terry wogan#ken bruce#ken bruce#no semi - finals#no semi - finals
1999#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
2000#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
2001#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
2002#terry wogan#ken bruce#colin berry#no semi - finals#no semi - finals
2003#terry wogan#ken bruce#lorraine kelly#no semi - finals#no semi - finals
2004#terry wogan#ken bruce#lorraine kelly#paddy o'connell#no dual commentator
2005#terry wogan#ken bruce#cheryl baker#paddy o'connell#no dual commentator
2006#terry wogan#ken bruce#fearne cotton#paddy o'connell#no dual commentator
2007#terry wogan#ken bruce#fearne cotton#paddy o'connell#sarah cawood
2008#terry wogan#ken bruce#carrie grant#paddy o'connell#caroline flack
2009#graham norton#ken bruce#duncan james#paddy o'connell#sarah cawood
2010#graham norton#ken bruce#scott mills#paddy o'connell#sarah cawood
2011#graham norton#ken bruce#alex jones#scott mills#sara cox
2012#graham norton#ken bruce#scott mills#scott mills#sara cox
