week#date#opponent#home / away game#result
1#january 28#nashville kats#home#l 57 - 28
2#february 3#chicago rush#away#w 51 - 47
3#february 11#utah blaze#away#w 84 - 81
4#february 19#philadelphia soul#away#l 75 - 59
5#february 26#orlando predators#home#w 55 - 35
6#march 3#columbus destroyers#home#l 65 - 54
7#march 12#austin wranglers#away#w 59 - 56
8#march 18#tampa bay storm#away#l 60 - 44
9#march 24#kansas city brigade#home#w 54 - 48
10#april 1#grand rapids rampage#home#w 48 - 24
11#april 9#dallas desperados#home#l 48 - 26
12#april 14#columbus destroyers#away#w 64 - 57
13#april 23#los angeles avengers#away#w 70 - 61
14#april 29#philadelphia soul#home#w 65 - 58
15#may 6#georgia force#home#w 47 - 35
16#may 12#dallas desperados#away#l 82 - 38
