rank#name#nation#points#places
1#tai babilonia / randy gardner#united states#144.54#12
2#marina cherkasova / sergei shakhrai#soviet union#142.22#16
3#sabine baeãÿ / tassilo thierbach#east germany#137.74#32
4#irina vorobieva / igor lisovski#soviet union#138.72#33
5#marina pestova / stanislav leonovich#soviet union#133.98#46
6#vicki heasley / robert wagenhoffer#united states#132.50#54
7#cornelia haufe / kersten bellmann#east germany#128.98#70
8#christina riegel / andreas nischwitz#west germany#128.56#75
9#sheryl franks / michael botticelli#united states#127.64#77
10#kerstin stolfig / veit kempe#east germany#125.92#84
11#barbara underhill / paul martini#canada#123.92#94
12#gabriele beck / jochen stahl#west germany#117.62#114
13#elizabeth cain / peter cain#australia#115.32#117
14#kyoko hagiwara / hisao ozaki#japan#114.02#120
