position#played#points#wins#draws#losses#goals for#goals against#goal difference
1#30#41#17#7#6#65#42#+ 23
2#30#38#17#4#9#56#36#+ 20
3#30#38#16#6#8#62#44#+ 18
4#30#34#15#4#11#63#46#+ 17
5#30#33#12#9#9#62#48#+ 14
6#30#32#14#4#12#52#53#- 1
7#30#29#10#9#11#56#54#+ 2
8#30#29#12#5#13#44#58#- 14
9#30#29#11#7#12#76#59#+ 17
10#30#28#12#4#14#65#55#+ 10
11#30#28#9#10#11#45#61#- 16
12#30#28#11#6#13#38#46#- 8
13#30#25#10#5#15#49#63#- 14
14#30#25#11#3#16#35#64#- 29
15#30#22#8#6#16#44#56#- 12
16#30#21#8#5#17#42#69#- 27
