position#number#name#height#weight#class#hometown#games↑
qb#5#mike hartline#6'6#'205#so#canton , ohio#5
tb#28#tony dixon#'5'9#203#sr#parrish , alabama#5
fb#38#john conner#5'11#230#jr#west chester , ohio#5
wr#12#dicky lyons#5'11#190#sr#new orleans , louisiana#5
wr#17#ej adams#6'0#197#jr#stone mountain , georgia#3
te#80#tc drake#6'6'#242#jr#bardstown , kentucky#4
lt#79#garry williams#6'3#300#sr#louisville , kentucky#3
lg#72#zipp duncan#6'5#295#jr#magnolia , kentucky#5
c#61#jorge gonzález#6'3#303#jr#tampa bay , florida#5
rg#73#jess beets#6'2#293#sr#dove canyon , california#5
rt#72#brad durham#6'4#310#so#mount vernon , kentucky#1
