team#location#venue#capacity#position in 1992
dinamo minsk#minsk#dinamo , minsk#41040#1
dnepr#mogilev#spartak#11200#2
dinamo brest#brest#dinamo , brest#10080#3
fandok#bobruisk#spartak , bobruisk#3550#4
neman#grodno#neman#6300#5
kim#vitebsk#central , vitebsk#8300#6
torpedo mogilev#mogilev#torpedo , mogilev#3500#7
vedrich#rechytsa#central , rechytsa#3550#8
molodechno#molodechno#city stadium , molodechno#5500#9
torpedo minsk#minsk#torpedo , minsk#5200#10
shakhtyor#soligorsk#stroitel#5000#11
obuvshchik#lida#city stadium , lida#4000#12
torpedo zhodino#zhodino#torpedo , zhodino#3020#13
stroitel#starye dorogi#stroitel#2000#14
lokomotiv#vitebsk#central , vitebsk#8300#15
gomselmash#gomel#central , gomel#11800#16
belarus#minsk#dinamo , minsk#41040#first league , 1
