position#team#played#won#drawn#lost#goals for#goals against#goal average 1#points 2
1#boston united#46#27#16#3#88#34#2.59#70
2#scarborough#46#26#9#11#72#39#1.85#61
3#wigan athletic#46#23#14#9#69#38#1.82#60
4#altrincham#46#22#16#8#75#55#1.36#60
5#bradford park avenue#46#19#17#10#63#50#1.26#56
6#stafford rangers#46#20#11#15#63#46#1.37#51
7#gainsborough trinity#46#18#13#15#70#50#1.40#49
8#northwich victoria#46#17#15#14#74#62#1.19#49
9#netherfield#46#20#9#17#68#65#1.05#49
10#macclesfield town#46#16#16#14#58#47#1.23#48
11#ellesmere port town#46#18#11#17#52#56#0.93#47
12#skelmersdale united#46#15#16#15#58#59#0.98#46
13#bangor city#46#16#13#17#70#60#1.17#45
14#mossley#46#17#11#18#70#73#0.96#45
15#morecambe#46#17#11#18#62#70#0.89#45
16#great harwood#46#14#15#17#63#74#0.85#43
17#south liverpool#46#12#19#15#47#57#0.82#43
18#runcorn#46#15#12#19#75#78#0.96#42
19#goole town#46#13#13#20#64#73#0.88#39
20#south shields#46#17#4#25#64#81#0.79#38
21#matlock town#46#11#11#24#42#80#0.53#33
22#lancaster city#46#10#11#25#53#78#0.68#31
23#barrow#46#12#6#28#52#101#0.51#30
