skip#third / vice skip#second#lead#city
kerry burtnyk#don walchuk#richard daneault#garth smith#winnipeg
pat simmons#gerry adam#jeff sharp#steve laycock#davidson
jeff stoughton#kevin park#rob fowler#steve gould#winnipeg
wayne middaugh#jon mead#john epping#scott bailey#islington
brad gushue#mark nichols#ryan fry#jamie korab#st john 's
mike mcewen#b j neufeld#matt wozniak#denni neufeld#winnipeg
joel jordison#scott bitz#aryn schmidt#dean hicke#moose jaw
bob ursel#jim cotter#kevin folk#rick sawatsky#kelowna
jean - michel ménard#martin crête#éric sylvain#jean gagnon#lévis
ted appelman#tom appelman#bradon klassen#brendan melnyk#edmonton
greg mcaulay#ken maskiewich#deane horning#aaron watson#richmond
jason gunnlaugson#justin richter#braden zawada#tyler forrest#beausejour
