year#pick#player name#position#college
1960#—#roger leclerc#center#trinity college
1961#—#bob gaiters#halfback#new mexico state
1962#—#merlin olsen#defensive tackle#utah state
1963#—#kermit alexander#defensive back#ucla
1964#—#bob brown#offensive tackle#nebraska
1965#—#— no pick#—#—
1966#—#jerry shay#offensive tackle#purdue
1967#6#floyd little#running back#syracuse
1968#—#— no pick#—#—
1969#—#— no pick#—#—
1970#11#bobby anderson#running back#colorado
1971#12#marv montgomery#offensive tackle#usc
1972#5#riley odoms#tight end#houston
1973#9#otis armstrong#running back#purdue
1974#14#randy gradishar#linebacker#ohio state
1975#17#louis wright#defensive back#san jose state
1976#15#tom glassic#guard#virginia
1977#18#steve schindler#guard#boston college
1978#27#don latimer#nose tackle#miami (fl)
1979#22#kelvin clark#offensive tackle#nebraska
1980#—#— no pick#—#—
1981#15#dennis smith#defensive back#usc
1982#21#gerald willhite#running back#san jose state
1983#4#chris hinton#guard#northwestern
1984#—#— no pick#—#—
1985#26#steve sewell#running back#oklahoma
1986#—#— no pick#—#—
1987#27#ricky nattiel#wide receiver#florida
1988#26#ted gregory#defensive tackle#syracuse
1989#20#steve atwater#defensive back#arkansas
1990#—#— no pick#—#—
1991#4#mike croel#linebacker#nebraska
1992#25#tommy maddox#quarterback#ucla
1993#11#dan williams#defensive end#toledo
1994#—#— no pick#—#—
1995#—#— no pick#—#—
1996#15#john mobley#linebacker#kutztown
1997#28#trevor pryce#defensive tackle#clemson
1998#30#marcus nash#wide receiver#tennessee
1999#31#al wilson#linebacker#tennessee
2000#15#deltha o'neal#cornerback#california
2001#24#willie middlebrooks#cornerback#minnesota
2002#19#ashley lelie#wide receiver#hawaii
2003#20#george foster#offensive tackle#georgia
2004#17#d. j. williams#linebacker#miami (fl)
2005#—#— no pick#—#—
2006#11#jay cutler#quarterback#vanderbilt
2007#17#jarvis moss#defensive end#florida
2008#12#ryan clady#offensive tackle#boise state
2009#12#knowshon moreno#running back#georgia
2009#18#robert ayers#defensive end#tennessee
2010#22#demaryius thomas#wide receiver#georgia tech
2010#25#tim tebow#quarterback#florida
2011#2#von miller#linebacker#texas a & m
2012#—#— no pick#—#—
2013#28#sylvester williams#defensive tackle#north carolina
