club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
ammanford rfc#22#0#2#751#373#100#40#15#1#96
tondu rfc#22#1#5#599#441#84#60#10#1#77
kidwelly rfc#22#0#9#477#439#53#47#7#5#64
builth wells rfc#22#0#10#476#388#60#38#7#7#62
loughor rfc#22#1#9#548#529#63#69#6#3#59
cwmllynfell rfc#22#1#10#553#603#69#74#9#4#59
aberystwyth rfc#22#0#11#510#541#60#74#7#1#52
skewen rfc#22#1#10#443#413#58#51#4#2#52
aberavon quins rfc#22#2#13#454#480#64#57#9#6#47
newcastle emlyn rfc#22#1#15#487#634#55#80#7#5#38
bp (llandarcy) rfc#22#3#15#324#461#34#53#2#7#31
pontyberem rfc#22#0#18#330#650#34#91#2#7#25
