date#tournament#surface#opponent in the final#score
august 14 , 1994#carthage#clay#anne - gaëlle sidot#5 - 7 6 - 3 6 - 4
march 26 , 1995#moulins#hard indoors#linda sentis#3 - 6 6 - 3 6 - 2
november 26 , 1995#le havre#clay indoors#émilie loit#0 - 6 6 - 3 6 - 4
february 4 , 1996#dinan#clay indoors#virginie massart#6 - 4 7 - 6
august 11 , 1996#carthage#clay#marielle bruens#7 - 5 6 - 4
december 14 , 1997#ismailia#clay#tzipora obziler#5 - 7 7 - 5 6 - 4
april 30 , 2000#bournemouth#clay#dragana zarić#7 - 5 6 - 2
september 22 , 2002#glasgow#hard indoors#anne keothavong#7 - 6 2 - 6 7 - 6
november 3 , 2002#nottingham#hard indoors#lilia osterloh#6 - 2 6 - 2
may 14 , 2006#jounieh#clay#anastasiya yakimova#6 - 4 7 - 5
may 13 , 2007#jounieh#clay#mariya koryttseva#6 - 2 4 - 6 7 - 6
