game#date#opponent#score#high points#high rebounds#high assists#location#record
2#june 1#charlotte#w 82 - 79#sales (24)#mcwilliams (9)#s johnson (7)#td waterhouse centre#1 - 1
3#june 3#indiana#w 88 - 82#s johnson (16)#dos santos , mcwilliams (5)#s johnson (10)#conseco fieldhouse#2 - 1
4#june 5#sacramento#w 75 - 68#sales (22)#mcwilliams (12)#s johnson (8)#td waterhouse centre#3 - 1
5#june 7#cleveland#l 79 - 83 (ot)#sales (24)#mcwilliams (8)#s johnson (8)#gund arena#3 - 2
6#june 8#minnesota#l 57 - 71#mcwilliams (18)#mcwilliams (9)#s johnson (3)#td waterhouse centre#3 - 3
7#june 10#charlotte#w 74 - 71#mcwilliams , sales (20)#mcwilliams , dos santos (6)#mcwilliams (6)#gund arena#4 - 3
8#june 13#utah#w 88 - 80#s johnson (19)#sales (6)#s johnson (12)#delta center#5 - 3
9#june 15#minnesota#l 66 - 72#sales (23)#dos santos (11)#s johnson (3)#target center#5 - 4
10#june 17#indiana#l 54 - 79#mcwilliams (11)#mcwilliams (6)#s johnson (4)#td waterhouse centre#5 - 5
11#june 22#cleveland#w 77 - 64#mcwilliams (22)#mcwilliams (11)#five players (3)#td waterhouse centre#6 - 5
12#june 24#charlotte#w 69 - 68#sales (22)#sales (10)#dos santos (4)#td waterhouse centre#7 - 5
13#june 26#houston#l 58 - 70#mcwilliams , sales (14)#s johnson (11)#s johnson (6)#td waterhouse centre#7 - 6
14#june 28#miami#w 61 - 53#s johnson (14)#mcwilliams (8)#s johnson (4)#td waterhouse centre#8 - 6
