club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
abercarn rfc#20#17#0#3#582#251#84#29#14#1#83
talywain rfc#20#15#0#5#433#211#55#24#6#4#70
caldicot rfc#20#14#1#5#568#379#79#54#11#0#69
blaenavon rfc#20#14#1#5#381#293#54#38#6#2#66
trinant rfc#20#13#0#7#378#284#46#38#4#3#59
usk rfc#20#10#0#10#417#382#56#47#4#5#49
oakdale rfc#20#10#0#10#353#458#40#60#4#3#47
llanhilleth rfc#20#8#0#12#286#396#38#51#2#2#36
ynysddu rfc#20#4#0#16#216#428#27#54#1#5#22
rtb (ebbw vale) rfc#20#2#1#17#238#497#35#69#1#5#16
bettws rfc#20#1#1#18#319#592#39#89#2#4#12
