no in season#no disc#title#directed by#written by#original air date
1#1#new order (part 1)#andy mikita#joseph mallozzi & paul mullie#july 9 , 2004 ( sci fi channel )
2#1#new order (part 2)#andy mikita#robert c cooper#july 9 , 2004 (sci fi channel)
3#1#lockdown#will waring#joseph mallozzi & paul mullie#july 23 , 2004 (sci fi channel)
4#1#zero hour#peter woeste#robert c cooper#july 30 , 2004 (sci fi channel)
5#2#icon#peter f woeste#damian kindler#august 6 , 2004 (sci fi channel)
6#2#avatar#martin wood#damian kindler#august 13 , 2004 (sci fi channel)
8#2#covenant#martin wood#ron wilkerson#august 27 , 2004 (sci fi channel)
9#3#sacrifices#andy mikita#christopher judge#september 10 , 2004 (sci fi channel)
10#3#endgame#peter deluise#joseph mallozzi & paul mullie#september 17 , 2004 (sci fi channel)
11#3#gemini#will waring#peter deluise#december 14 , 2004 ( sky one )
12#3#prometheus unbound#andy mikita#damian kindler#december 21 , 2004 (sky one)
14#4#full alert#andy mikita#joseph mallozzi & paul mullie#january 11 , 2005 (sky one)
16#4#reckoning (part 1)#peter deluise#damian kindler#january 25 , 2005 (sky one)
17#5#reckoning (part 2)#peter deluise#damian kindler#february 1 , 2005 (sky one)
