conference#regular season winner#conference player of the year#conference tournament#tournament venue (city)#tournament winner
atlantic 10 conference#temple (east) george washington (west)#shawnta rogers , george washington#1999 atlantic 10 men 's basketball tournament#the spectrum ( philadelphia , pennsylvania )#rhode island
atlantic coast conference#duke#elton brand , duke#1999 acc men 's basketball tournament#charlotte coliseum ( charlotte , north carolina )#duke
big 12 conference#texas#venson hamilton , nebraska#1999 big 12 men 's basketball tournament#kemper arena ( kansas city , missouri )#kansas
big sky conference#weber state#harold arceneaux , weber state#1999 big sky men 's basketball tournament#dee events center ( ogden , utah )#weber state
colonial athletic association#george mason#george evans , george mason#1999 caa men 's basketball tournament#richmond coliseum ( richmond , virginia )#george mason
ivy league#penn#brian earl , princeton#no tournament#no tournament#no tournament
metro atlantic athletic conference#niagara & siena#alvin young , niagara#1999 maac men 's basketball tournament#marine midland arena ( buffalo , new york )#siena
mid - american conference#miami (ohio) (east) toledo (west)#wally szczerbiak , miami (ohio)#1999 mac men 's basketball tournament#seagate convention centre ( toledo , ohio )#kent state
pacific - 10 conference#stanford#jason terry , arizona#no tournament#no tournament#no tournament
patriot league#lafayette#brian ehlers , lafayette#1999 patriot league men 's basketball tournament#kirby sports center ( easton , pennsylvania )#lafayette
southeastern conference#tennessee (east) auburn (west)#chris porter , auburn#1999 sec men 's basketball tournament#georgia dome ( atlanta , georgia )#kentucky
sun belt conference#louisiana tech#chico fletcher , arkansas state#1999 sun belt men 's basketball tournament#cajundome ( lafayette , louisiana )#arkansas state
