round#pick#overall#name#position#college
1#3#3#charley taylor#wr#arizona state
2#4#18#paul krause#s#iowa
5#3#59#jim snowden#ot#notre dame
6#4#74#russ brown#e#florida
7#3#87#dick shiner#qb#maryland
9#3#115#len hauss#c#georgia
10#4#130#rick leeson#rb#pittsburgh
11#3#143#gene donaldson#rb#purdue
12#4#158#bob avolerin#ot#tennessee
13#3#171#tom mcdonald#rb#notre dame
14#4#186#tom urbanik#rb#penn state
15#3#199#dick evers#ot#colorado state
16#4#214#tom walters#s#mississippi
17#3#227#ozzie clay#wr#iowa state
18#4#242#bob jones#g#nebraska
19#3#255#john seedborg#p#arizona state
20#4#270#gordon guest#rb#arkansas
