res#record#opponent#method#event#round#time#location
win#29 - 21 - 1#igor sliusarchuk#submission (rear - naked choke)#global fight club - gfc challenge#1#3:03#krasnodar , krasnodar krai , russia
win#28 - 21 - 1#terry martin#tko (punches)#ksw 21#2#4:08#warsaw , poland
win#27 - 21 - 1#antoni chmielewski#tko (punches)#ksw xix#3#2:19#łódź , poland
loss#26 - 21 - 1#thales leites#submission (arm - triangle choke)#amazon forest combat 2#2#4:39#manaus , amazonas , brazil
loss#26 - 20 - 1#michał materla#decision (unanimous)#ksw 17#3#3:00#łódź , poland
loss#26 - 19 - 1#jake rosholt#decision (unanimous)#shark fights 17: horwich vs. rosholt 2#3#5:00#frisco , texas , united states
loss#26 - 18 - 1#danillo villefort#decision (unanimous)#shark fights 14: horwich vs. villefort#3#5:00#lubbock , texas , united states
win#26 - 17 - 1#jake rosholt#tko (punches)#xtreme fight night - rosholt vs. horwich#3#2:56#tulsa , oklahoma , united states
loss#25 - 17 - 1#eric schambari#decision (split)#bellator 28#3#5:00#new orleans , louisiana , united states
win#25 - 16 - 1#thales leites#submission (rear - naked choke)#powerhouse world promotions : war on the mainland#4#0:44#irvine , california , united states
loss#24 - 16 - 1#tom watson#decision (unanimous)#bamma 3#5#5:00#birmingham , england
loss#24 - 15 - 1#jason macdonald#decision (unanimous)#lgio mma 1: macdonald vs horwich#3#5:00#edmonton , alberta , canada
win#24 - 14 - 1#jason lambert#decision (split)#amma 1: first blood#3#5:00#edmonton , alberta , canada
loss#23 - 14 - 1#bryan baker#decision (unanimous)#bellator 10#3#5:00#ontario , california , united states
loss#23 - 13 - 1#ricardo almeida#decision (unanimous)#ufc fight night : condit vs. kampmann#3#5:00#nashville , tennessee , united states
loss#23 - 12 - 1#dan miller#decision (unanimous)#ufc 90#3#5:00#rosemont , illinois , united states
win#23 - 11 - 1#joey guel#decision (unanimous)#ifl : mohegan sun#3#4:00#uncasville , connecticut , united states
