club#first season in top division#number of seasons in top division#first season of current spell in top division#number of seasons in liga mx#top division titles
américa#1943 - 44#89#1943 - 44#89#11
atlante#1943 - 44#87#1991 - 92#40#3
atlas#1943 - 44#86#1979 - 80#51#1
chiapas#2002 - 03#22#2002 - 03#22#0
cruz azul#1964 - 65#68#1964 - 65#68#8
guadalajara#1943 - 44#89#1943 - 44#89#11
león#1944 - 45#65#2012 - 13#2#5
monterrey#1945 - 46#74#1960 - 61#72#4
morelia#1957 - 58#61#1981 - 82#50#1
pachuca#1967 - 68#40#1998 - 99#30#5
puebla#1944 - 45#69#2007 - 08#12#2
querétaro#1990 - 91#18#2009 - 10#8#0
santos laguna#1988 - 89#42#1988 - 89#42#4
tijuana#2011 - 12#4#2011 - 12#4#1
toluca#1953 - 54#79#1953 - 54#79#10
uanl#1974 - 75#55#1997 - 98#32#3
unam#1962 - 63#70#1962 - 63#70#7
veracruz#1943 - 44#49#2013 - 14#0#2
