res#record#opponent#method#event#round#time#location
loss#7 - 2 - 4#alexandre franca nogueira#decision (unanimous)#shooto 2005 - 3 / 11 in korakuen hall#3#5:00#tokyo korakuen hall
draw#7 - 1 - 4#hiroyuki takaya#draw#shooto 2004 - 1 / 24 in korakuen hall#3#5:00#tokyo , japan
win#7 - 1 - 3#hiroyuki abe#submission (armbar)#shooto - gig central 4#2#4:59#nagoya , japan
win#6 - 1 - 3#naoya uematsu#decision (unanimous)#shooto 2003 - 1 / 24 in korakuen hall#3#5:00#tokyo , japan
win#5 - 1 - 3#ryan bow#decision (majority)#deep - 6th impact#3#5:00#tokyo , japan
win#4 - 1 - 3#takehiro murahama#submission (armbar)#deep - 4th impact#1#2:13#nagoya , japan
win#3 - 1 - 3#stephen palling#submission (armbar)#world fighting alliance 1#1#1:29#nevada , united states
win#2 - 1 - 3#takehiro murahama#submission (armbar)#deep - 2nd impact#1#4:29#yokohama , japan
loss#1 - 1 - 3#jens pulver#decision#ufc 26#3#5:00#iowa , united states
draw#1 - 0 - 3#hisao ikeda#draw#vtj 1999 - vale tudo japan 1999#3#8:00#tokyo , japan
draw#1 - 0 - 2#noboru asahi#draw#vtj 1998 - vale tudo japan 1998#3#8:00#tokyo , japan
draw#1 - 0 - 1#uchu tatsumi#draw#vtj 1997 - vale tudo japan 1997#3#8:00#tokyo , japan
win#1 - 0#abdelaziz cherigui#submission (armbar)#ef 3 - extreme fighting 3#1#4:02#oklahoma , united states
