event#time#date#meet#location
50 m freestyle#23.82#17 november 2007#world cup#berlin , germany
100 m freestyle#51.88#18 december 2010#world championships#dubai , united arab emirates
200 m freestyle#1:51.67#19 december 2009#duel in the pool#manchester , united kingdom
400 m freestyle#3:55.89#18 december 2009#duel in the pool#manchester , united kingdom
800 m freestyle#8:08.00#14 october 2007#alex athletics jubliäums challenge#essen , germany
1500 m freestyle#15:32.90#14 october 2007#alex athletics jubliäums challenge#essen , germany
50 m backstroke#26.16#16 december 2012#world championships#istanbul , turkey
100 m backstroke#55.97#16 december 2011#duel in the pool#atlanta , united states
200 m backstroke#2:00.03#22 october 2011#world cup#berlin , germany
50 m breaststroke#28.80#15 november 2009#world cup#berlin , germany
100 m breaststroke#1:02.70#19 december 2009#duel in the pool#manchester , united kingdom
200 m breaststroke#2:14.57#18 december 2009#duel in the pool#manchester , united kingdom
50 m butterfly#25.17#15 november 2009#world cup#berlin , germany
100 m butterfly#55.59#30 october 2010#world cup#berlin , germany
200 m butterfly#2:03.20#6 august 2009#british grand prix#leeds , united kingdom
100 m individual medley#58.65#16 december 2010#world championships#dubai , united arab emirates
200 m individual medley#2:04.60#19 december 2009#duel in the pool#manchester , united kingdom
400 m individual medley#4:21.04#18 december 2009#duel in the pool#manchester , united kingdom
450 m freestyle relay#1:37.27#18 march 2004#ncaa division i championships#college station , united states
4100 m freestyle relay#3:28.46#17 december 2011#duel in the pool#atlanta , united states
4200 m freestyle relay#7:38.42#15 december 2010#world championships#dubai , united arab emirates
450 m medley relay#1:49.71#17 march 2000#ncaa division i championships#indianapolis , united states
4100 m medley relay#3:45.56#16 december 2011#duel in the pool#atlanta , united states
