rank#heat#lane#name#nationality#time
1#4#4#michael phelps#united states#4:07.82
2#2#4#lászló cseh#hungary#4:09.26
3#4#5#luca marin#italy#4:10.22
4#3#4#ryan lochte#united states#4:10.33
5#4#3#gergő kis#hungary#4:10.66
6#2#3#alessio boggiatto#italy#4:10.68
7#3#7#brian johns#canada#4:11.41
8#3#5#thiago pereira#brazil#4:11.74
9#4#2#keith beavers#canada#4:12.75
10#2#1#bradley ally#barbados#4:14.01
11#2#8#gal nevo#israel#4:14.03
12#3#3#riaan schoeman#south africa#4:14.09
13#3#1#andrey krylov#russia#4:14.55
14#4#6#travis nederpelt#australia#4:15.37
15#2#2#dinko jukić#austria#4:15.48
16#2#7#alexander tikhonov#russia#4:16.49
17#2#5#thomas haffield#great britain#4:16.76
18#2#6#vasileios demetis#greece#4:18.40
19#3#6#euan dale#great britain#4:18.60
20#4#8#vadym lepskyy#ukraine#4:20.96
21#3#8#omar pinzón#colombia#4:22.31
22#4#7#pierre henri#france#4:22.41
23#1#4#nikša roki#croatia#4:22.44
24#3#2#javier núñez#spain#4:22.69
25#4#1#romanos alyfantis#greece#4:23.41
26#1#6#dmitriy gordiyenko#kazakhstan#4:25.20
27#1#2#vasilii danilov#kyrgyzstan#4:29.20
28#1#3#deniz nazar#turkey#4:30.80
29#1#5#hocine haciane#andorra#4:32.00
