event#data#athlete#date#place
5 km#19:29#andi drake#27 may 1990#søfteland , norway
5 miles#32:38 +#ian mccombie#23 march 1985#york , united kingdom
10 km#40:17#chris maddocks#30 april 1989#burrator , united kingdom
15 km#1:01:11#steve barry#24 june 1984#mézidon - canon , france
10 miles#1:06:15 +#steve barry#26 february 1983#douglas , united kingdom
20 km#1:22:03#ian mccombie#23 september 1988#seoul , south korea
25 km#1:46:16 +#ian mccombie#27 april 1986#edinburgh , united kingdom
30 km#2:07:56#ian mccombie#27 april 1986#edinburgh , united kingdom
20 miles#2:30:35#paul nihill#12 june 1971#sheffield , united kingdom
35 km#2:36:19#chris maddocks#29 june 1991#örnsköldsvik , sweden
40 km#3:02:55 +#chris maddocks#28 october 1990#burrator , united kingdom
50 km#3:51:37#chris maddocks#28 october 1990#burrator , united kingdom
100 km#9:34:25#tony geal#2 june 1979#grand - quevilly , france
24 hours#219.570 km#derek harrison#21 may 1978#rouen , france
