date#vs#opponent'#score'#attendance#record
january 12 , 1990#at#new york saints#9 - 4#10126#win
january 13 , 1990#vs#pittsburgh bulls#13 - 8#16101#win
february 11 , 1990#vs#detroit turbos#21 - 19#15204#win
february 17 , 1990#at#baltimore thunder#14 - 13#10904#win
march 3 , 1990#at#pittsburgh bulls#9 - 8#12121#win
march 11 , 1990#vs#baltimore thunder#10 - 9#16711#win
march 16 , 1990#at#new england blazers#11 - 13#10551#loss
march 24 , 1990#vs#new york saints#5 - 8#17177#loss
april 7 , 1990#vs#new york saints#11 - 10#13552#win
april 13 , 1990#at#new england blazers#17 - 7#11479#win
