driver#race 1#race 2#race 3#race 4
russell ingall#1#1#1#1
john bowe#3#2#2#2
larry perkins#12#4#4#3
mark skaife#2#3#3#4
craig lowndes#dnf#11#8#5
glenn seton#6#5#5#6
john faulkner#9#8#11#7
steven richards#36#19#7#8
dick johnson#10#6#6#9
greg crick#dnf#15#12#10
wayne gardner#8#10#dnf#11
tomas mezera#17#dnf#17#12
anthony tratt#19#dnf#18#13
rodney forbes#20#16#dnf#14
darren hossack#14#13#dnf#15
mal rose#21#20#20#16
ray hislop#25#23#23#17
mick donaher#23#dnf#21#18
wayne russell#35#25#24#19
steve ellery#13#9#dnf#20
neil schembri#27#27#22#21
garry willmington#30#30#25#22
mike conway#34#dnf#dnf#23
d'arcy russell#29#dnf#dns#24
mike imrie#31#28#dns#25
barry morcom#32#29#26#26
mark poole#16#12#dnf#27
trevor ashby#18#17#13#28
paul romano#dnf#dns#16#dnf
jason bargwanna#7#7#dns#dnf
john cotter#28#dnf#dns#dnf
mark larkham#11#14#9#dnf
paul weel#33#24#19#dnf
wayne park#dnf#21#15#dnf
terry finnigan#15#dnf#14#dnf
tony longhurst#4#dnf#10#dns
darren pate#22#18#dnf#dns
kerryn brewer#26#22#dnf#dns
danny osborne#24#26#dns#dns
jason bright#5#dnf#dns#dns
