name#pos#height#weight#2012 club
flóra bolonyai#gk#m#-#usc trojans
dóra czigány#cf#m#-#zf - eger
dóra antal#cf#m#-#zf - eger
hanna kisteleki#cf#m#-#bvsc ‐ zugló
gabriella szűcs#cf#m#-#dunaújvárosi főiskola ve
orsolya takács#cb#m#-#szentesi vizilabda klub
rita drávucz#d#m#-#pro recco
rita keszthelyi#d#m#-#szentesi vizilabda klub
ildikó tóth#cb#m#-#bvsc ‐ zugló
barbara bujka#cb#m#-#waterpolo fontalba messina
dóra csabai#cb#m#-#bvsc ‐ zugló
katalin menczinger#cb#m#-#dunaújvárosi főiskola ve
edina gangl#gk#m#-#zf - eger
