res#record#opponent#method#event#round#time#location
loss#16 - 6 - 2#douglas lima#ko (head kick)#bellator 100#2#4:33#phoenix , arizona , united states
win#16 - 5 - 2#raul amaya#ko (head kick)#bellator 90#1#2:56#west valley city , utah , united states
win#15 - 5 - 2#koffi adzitso#decision (unanimous)#bellator 86#3#5:00#thackerville , oklahoma , united states
win#14 - 5 - 2#brian warren#tko (knees)#bellator 72#1#0:22#tampa , florida , united states
loss#13 - 5 - 2#bryan baker#decision (unanimous)#bellator 67#3#5:00#rama , ontario , canada
win#13 - 4 - 2#raul amaya#decision (unanimous)#bellator 63#3#5:00#uncasville , connecticut , united states
loss#12 - 4 - 2#douglas lima#ko (punches)#bellator 57#2#1:21#rama , ontario , canada
win#12 - 3 - 2#luis santos#submission (americana)#bellator 53#3#1:45#miami , oklahoma , united states
win#11 - 3 - 2#chris cisneros#tko (knee and punches)#bellator 49#3#0:29#atlantic city , new jersey , united states
win#10 - 3 - 2#matt lee#tko (doctor stoppage)#bellator 39#3#1:24#uncasville , connecticut , united states
win#9 - 3 - 2#elijah harshbarger#submission (punches and elbows)#wef : saunders vs harshbarger#1#4:21#kissimmee , florida , united states
loss#8 - 3 - 2#dennis hallman#decision (unanimous)#ufc 117#3#5:00#oakland , california , united states
loss#8 - 2 - 2#jon fitch#decision (unanimous)#ufc 111#3#5:00#newark , new jersey , united states
win#8 - 1 - 2#marcus davis#ko (knees)#ufc 106#1#3:24#las vegas , nevada , united states
loss#7 - 1 - 2#mike swick#tko (punches)#ufc 99#2#3:47#cologne , germany
win#7 - 0 - 2#brandon wolff#tko (knees)#ufc : fight for the troops#1#1:49#fayetteville , north carolina , united states
win#6 - 0 - 2#ryan thomas#submission (armbar)#ufc 87#2#2:28#minneapolis , minnesota , united states
win#5 - 0 - 2#dan barrera#decision (unanimous)#the ultimate fighter 6 finale#3#5:00#las vegas , nevada , united states
win#4 - 0 - 2#charles blanchard#submission (armbar)#combat fighting championships 3#1#0:46#orlando , florida , united states
win#3 - 0 - 2#kenny stevens#tko (punches)#combat fighting championship 1#3#3:05#orlando , florida , united states
win#2 - 0 - 2#rick delvecchio#ko (head kick)#absolute fighting championships 15#1#4:31#fort lauderdale , florida , united states
win#1 - 0 - 2#reggie pena#submission (triangle choke)#absolute fighting championships 14#1#1:12#fort lauderdale , florida , united states
draw#0 - 0 - 2#diego lionel vitosky#draw#absolute fighting championships 12#2#5:00#fort lauderdale , florida , united states
draw#0 - 0 - 1#crafton wallace#draw#absolute fighting championships 8#2#5:00#fort lauderdale , florida , united states
