debut year#player#games#goals#years at club
1970#alan thompson#138#59#1970 - 1979
1970#warwick irwin#213#228#1970 - 1980 , 1983
1970#john duckworth#58#24#1970 , 1974 - 1976
1970#lawrie bennett#1#0#1970
1970#graeme renwick#35#22#1970 - 1973
1971#ray sault#41#6#1971 - 1976
1971#trevor lloyd#61#19#1971 - 1975
1971#laurie richards#79#69#1971 - 1974
1971#lyle skinner#2#1#1971
1971#garry wilson#268#452#1971 - 1984
1971#jack newton#12#33#1971 , 1973
1971#renato serafini#81#117#1971 - 1977
1972#ian mcculloch#60#16#1972 - 1975
1972#glenn robertson#50#13#1972 - 1976
1972#jim christou#30#23#1972 - 1976
1972#ray brain#13#1#1972 - 1974
1972#john formosa#15#2#1972 - 1975
1972#mark amos#1#1#1972
1972#geoff austen#85#35#1972 - 1978
1972#greg booth#17#0#1972 - 1974
1972#gerry noonan#15#17#1972 - 1974
1973#david mcmahon#218#236#1973 - 1984
1973#kevin o'keeffe#92#36#1973 - 1979 , 1982
1973#allan sinclair#39#11#1973 - 1978
1973#chris smith#163#58#1973 - 1982
1973#colin cruse#15#3#1973 - 1974
1973#kerrin hayes#8#5#1973 - 1974
1973#andrew lukas#30#1#1973 - 1975
1974#dean farnham#17#4#1974 - 1975
1974#ian miller#80#33#1974 - 1977
1974#neville taylor#92#11#1974 - 1975 , 1978 - 1982
1974#dan harrington#7#0#1974 , 1976
1974#don whitford#42#8#1974 - 1978
1974#rod carter#76#0#1974 - 1979
1974#wayne linton#65#17#1974 - 1978
1974#graeme weatherley#14#16#1974 - 1975
1975#rod appleton#5#2#1975
1975#peter ruscuklic#10#20#1975 - 1976
1975#robert shepherd#43#31#1975 - 1977
1975#graeme allan#87#97#1975 - 1980
1975#ian mcguinness#1#0#1975
1975#john lorenzini#1#0#1975
1975#jeff clifton#9#0#1975 - 1976
1975#john lewis#10#5#1975
1975#lex dwyer#6#3#1975 - 1977
1975#john christou#7#1#1975 - 1977
1976#ron alexander#133#30#1976 - 1981
1976#bob beecroft#96#291#1976 - 1980
1976#brian brown#51#3#1976 - 1979 , 1981
1976#gary chapman#16#17#1976 - 1978
1976#leon goonan#2#1#1976
1976#max george#8#20#1976
1976#grant fowler#35#31#1976 - 1979
1976#tim godfrey#11#0#1976 - 1978
1977#neil macleod#10#7#1977 - 1978
1977#greg parke#15#17#1977
1977#peter brown#44#16#1977 - 1980
1977#chris hansen#101#17#1977 - 1982
1977#peter johnston#8#9#1977 , 1979
1977#kalev vann#2#0#1977
1977#shane gilmore#4#0#1977
1977#russ hodges#31#3#1977 - 1978
1977#laurie serafini#146#9#1977 - 1985
1977#wayne duke#9#1#1977 - 1979
1977#mick conlan#210#395#1977 - 1989
1977#allan holmes#1#0#1977
1977#glenn ward#3#0#1977
1978#graham bux#2#0#1978
1978#john frazer#6#10#1978 - 1979
1978#gerald mccarthy#75#23#1978 - 1982
1978#grant lawrie#151#56#1978 - 1988
1978#john blair#4#2#1978
1978#noel mugavin#41#22#1978 - 1981
1978#bernie quinlan#189#576#1978 - 1986
1978#peter keays#49#0#1978 - 1981
1978#robert walls#41#77#1978 - 1980
1978#rino pretto#1#1#1978
1979#malcolm bramley#5#2#1979 - 1980
1979#kevin higgins#25#0#1979 - 1980
1979#keith macleod#2#0#1979
1979#max richardson#30#41#1979 - 1980
1979#michael poynton#52#66#1979 - 1983
1979#leon harris#186#101#1979 - 1989
