position#jersey#name#height (cm)#weight (kg)#birthdate#birthplace#20092010 team
g#1#ben bishop#201#93#november 21 , 1986#denver , colorado#peoria rivermen
g#30#scott clemmensen#191#93#july 23 , 1977#des moines , iowa#florida panthers
g#33#david leggio#180#81#july 31 , 1984#williamsville , new york#tps turku
d#41#taylor chorney#180#83#april 27 , 1987#thunder bay , ontario , canada#edmonton oilers
d#97#matt gilroy#185#91#july 20 , 1984#north bellmore , new york#new york rangers
d#6#andy greene#180#82#october 30 , 1982#trenton , michigan#new jersey devils
d#2#matt greene#191#108#may 13 , 1983#grand ledge , michigan#los angeles kings
d#38#jack hillen#180#91#january 24 , 1986#portland , oregon#new york islanders
d#3#jack johnson#185#102#january 13 , 1987#indianapolis , indiana#los angeles kings
d#39#mike lundin#188#89#september 24 , 1984#apple valley , minnesota#tampa bay lightning
d#93#keith yandle#188#88#september 9 , 1986#boston , massachusetts#phoenix coyotes
f#22#ryan carter#188#91#august 3 , 1983#white bear lake , minnesota#anaheim ducks
f#17#brandon dubinsky#185#93#april 29 , 1986#anchorage , alaska#new york rangers
f#71#nick foligno#183#95#october 31 , 1987#buffalo , new york#ottawa senators
f#18#tj galiardi#188#88#april 22 , 1988#calgary , alberta , canada#colorado avalanche
f#20#christian hanson#191#92#march 10 , 1986#glens falls , new york#toronto maple leafs
f#13#tim kennedy#178#80#april 30 , 1986#buffalo , new york#buffalo sabres
f#19#chris kreider#188#91#april 30 , 1991#boxford , massachusetts#boston college
f#25#david moss#191#91#december 28 , 1981#livonia , michigan#calgary flames
f#23#eric nystrom#185#88#february 14 , 1983#syosset , new york#calgary flames
f#21#kyle okposo#185#91#april 16 , 1988#st paul , minnesota#new york islanders
f#16#ryan potulny#183#86#september 5 , 1984#grand forks , north dakota#edmonton oilers
