state#name#hometown#age 1#talent
alabama#jana sanderson#birmingham , al#21#vocal
alaska#audrey solomon#anchorage , ak#21#classical violin
arizona#kristen vatt#mesa , az#20#character dance
arkansas#sara harris#forrest city , ar#20#vocal
california#rita ng#tracy , ca#22#classical piano
colorado#anamarie bonafede#loveland , co#22#ballet
connecticut#renelle richardson#branford , ct#18#tap dance
delaware#junnie cross#dover , de#20#vocal
district of columbia#rashida jolley#washington , dc#20#harp
florida#candace rodatz#orange park , fl#24#baton
georgia#pamela kennedy#lagrange , ga#23#vocal
hawaii#angela perez baraquio#honolulu , hi#24#hula
idaho#christina tiel#nampa , id#21#classical vocal
illinois#jennifer powers#andover , il#21#classical vocal
indiana#betsy bobel#peru , in#23#gymnastics
iowa#theresa uchytil#urbandale , ia#24#baton
kansas#amy shaw#derby , ks#22#classical piano
kentucky#whitney boyles#louisville , ky#22#vocal
louisiana#faith jenkins#shreveport , la#23#vocal
maine#renee belanger#washburn , me#22#jazz dance
maryland#sonia amir#beltsville , md#24#classical piano
massachusetts#michelle neves#new bedford , ma#23#vocal
michigan#che'vonne burton#livonia , mi#22#jazz dance
minnesota#katherine hill#wayzata , mn#23#vocal
mississippi#christy may#pontotoc , ms#24#piano
missouri#arron wendel#lawson , mo#23#modern dance
montana#jana jo labree#ekalaka , mt#24#gospel vocal
nebraska#jill pennington#omaha , ne#23#vocal
nevada#tiffanie story#reno , nv#19#vocal
new hampshire#lauren meehan#manchester , nh#19#vocal
new jersey#jill horner#gloucester , nj#21#vocal
new mexico#martha cobb#roswell , nm#21#tap dance
new york#kelly falgiano#lancaster , ny#21#classical piano
north carolina#lorna mcneill#lumberton#24#vocal
north dakota#carrie haberstroh#lisbon , nd#21#classical piano
ohio#stephanie meisberger#hopewell , oh#22#vocal
oklahoma#krstin steveson#broken arrow , ok#23#classical vocal
oregon#angela brink#roseburg , or#22#ballet
pennsylvania#melissa jeka#warminster , pa#23#ballet
rhode island#jennifer st laurent#warwick , ri#24#vocal
south carolina#heather hudson#lexington , sc#22#classical vocal
south dakota#nicole nigg#sisseton , sd#24#vocal
tennessee#beth hood#cleveland , tn#21#vocal
texas#tara watson#lufkin , tx#22#vocal
utah#jami palmer#tremonton , ut#20#classical piano
vermont#hannah nelson#ryegate corner , vt#24#vocal
virginia#jacqueline cook#colonial heights , va#24#dance
washington#semmelle ford#tacoma , wa#19#classical vocal
west virginia#jodi clark#moundsville , wv#22#ballet en pointe
wisconsin#joya zamora#kenosha , wi#23#vocal
wyoming#kimberly wilkerson#gillette , wy#24#vocal
