artist#country#number - one single (s)#year#weeks at 1#straight to 1 
paco#viet nam#amor de mis amores#1988#5#no
pagny , florent#france#n'importe quoi#1988#8#no
pagny , florent#france#savoir aimer#1997#9#no
pagny , florent#france#ma liberté de penser#2003#6#no
pakito#france#living on video#2004#4#no
paradis , vanessa#france#joe le taxi#1987#11#no
parker jr , ray#united states#ghostbusters#1984#5#no
parker , tony#france#balance - toi#2007#1#yes
passi#france#laisse parler les gens 1#2003#3#no
patti , guesch#france#étienne#1987#5#no
pep 's#france#liberta#2009#2#yes
peter & sloane#france#besoin de rien , envie de toi#1984#9#no
pietri , julie#france#ève lève - toi#1986#1#no
pigloo#france#le papa pingouin#2006#3#no
pitbull#united states#i know you want me (calle ocho)#2009#8#no
plage , la#france#coup de boule#2006#3#no
m pokora#france#dangerous#2008#1#yes
pow wow#france#le chat#1992#7#no
product g&b , the#united states#maria maria 1#2000#4#no
