contestant name#episode#date premiered (2009)#winning amount#eliminated contestant
kareena kapoor#1#may 30#rs10 , 00000#karishma kapoor
daler mehndi#2#june 6#rs10 , 00000#mika singh
darsheel safary#3#june 13#rs1 , 00000#tanay chheda
katrina kaif#4#june 20#rs10 , 00000#neil nitin mukesh
vijendra kumar#5#june 27#rs 1 , 00000#malika sherawat
sunny deol#6#july 4#rs 1 , 00000#dharmendra
kangana ranaut#7#july 11#rs 1 , 00000#pandit janardan
shilpa shetty#8#july 18#rs 1 , 00000#irfan pathan
sunil mishra#9#july 25#rs 10000#priyanka shukla
farah khan#10#august 1#rs 10 , 00000#deepika padukone
sanjay dutt#11#august 8#rs 10 , 00000#jackie shroff
dutta pangare (dabba wala)#12#august 15#rs 10 , 00000#meena bhoir (macchi wali)
kapil dev#13#august 22#rs 1 , 00000#navjot singh sidhu
ragini khanna & ratan rajput#14#august 29#rs 10 , 00000#sara khan & tina dutta
sunil shetty#15#september 5#rs10 , 00000#javed jaffrey & aftab shivdasani
rani mukerjee#16#september 12#rs 1 , 00000#shahid kapoor
boney kapoor & sri devi#17#september 19#rs 1 , 00000#prabhu deva & ayesha takia azmi
ritesh deshmukh#18#september 26#rs 10 , 00000#govinda & david dhawan
shatrughan sinha#19#october 3#rs 10000#hema malini
himesh reshammiya#20#october 10#rs 1 , 00000#sonal sehgal & shenaz treasurywala
