record#athlete#nation#venue#date
4.02 m#marc wright#united states#cambridge , u.s#june 8 , 1912
4.09 m#frank foss#united states#antwerp , belgium#august 20 , 1920
4.12 m#charles hoff#norway#copenhagen , denmark#september 22 , 1922
4.21 m#charles hoff#norway#copenhagen , denmark#july 22 , 1923
4.23 m#charles hoff#norway#oslo , norway#august 13 , 1925
4.25 m#charles hoff#norway#turku , finland#september 27 , 1925
4.27 m#sabin carr#united states#philadelphia , u.s#may 27 , 1927
4.30 m#lee barnes#united states#fresno , u.s#april 28 , 1928
4.37 m#william graber#united states#palo alto , u.s#july 16 , 1932
4.39 m#keith brown#united states#boston , u.s#june 1 , 1935
4.43 m#george varoff#united states#princeton , new jersey , u.s#july 4 , 1936
4.54 m#bill sefton#united states#los angeles , u.s#may 29 , 1937
4.54 m#earle meadows#united states#los angeles , u.s#may 29 , 1937
4.60 m#cornelius warmerdam#united states#fresno , u.s#june 29 , 1940
4.72 m#cornelius warmerdam#united states#compton , u.s#june 26 , 1941
4.77 m#cornelius warmerdam#united states#modesto , u.s#may 23 , 1942
4.78 m#robert gutowski#united states#palo alto , u.s#april 27 , 1957
4.80 m#don bragg#united states#palo alto , u.s#july 2 , 1960
4.83 m#george davies#united states#boulder , u.s#may 20 , 1961
4.89 m#john uelses#united states#santa barbara , u.s#march 31 , 1962
4.93 m#dave tork#united states#walnut , u.s#april 28 , 1962
4.94 m#pentti nikula#finland#kauhava , finland#june 22 , 1962
5.00 m#brian sternberg#united states#philadelphia , u.s#april 27 , 1963
5.08 m#brian sternberg#united states#compton#june 7 , 1963
5.13 m#john pennel#united states#london , england#august 5 , 1963
5.20 m#john pennel#united states#coral gables , u.s#august 24 , 1963
5.23 m#fred hansen#united states#san diego , u.s#june 13 , 1964
5.28 m#fred hansen#united states#los angeles , u.s#july 25 , 1964
5.32 m#bob seagren#united states#fresno , u.s#may 14 , 1966
5.34 m#john pennel#united states#los angeles , u.s#july 23 , 1966
5.36 m#bob seagren#united states#san diego , u.s#june 10 , 1967
5.38 m#paul wilson#united states#bakersfield , u.s#june 23 , 1967
5.41 m#bob seagren#united states#lake tahoe , u.s#september 12 , 1968
5.44 m#john pennel#united states#sacramento , u.s#june 21 , 1969
5.45 m#wolfgang nordwig#east germany#berlin , germany#june 17 , 1970
5.46 m#wolfgang nordwig#east germany#turin , italy#september 3 , 1970
5.49 m#christos papanikolaou#greece#athens , greece#october 24 , 1970
5.51 m#kjell isaksson#sweden#austin , u.s#april 8 , 1972
5.54 m#kjell isaksson#sweden#los angeles , u.s#april 15 , 1972
5.55 m#kjell isaksson#sweden#helsingborg , sweden#june 12 , 1972
5.63 m#bob seagren#united states#eugene , u.s#july 2 , 1972
5.65 m#david roberts#united states#gainesville , u.s#march 28 , 1975
5.67 m#earl bell#united states#wichita , u.s#may 29 , 1976
5.70 m#david roberts#united states#eugene , u.s#june 22 , 1976
5.72 m#władysław kozakiewicz#poland#milan , italy#may 11 , 1980
5.75 m#thierry vigneron#france#paris , france#june 1 , 1980
5.75 m#thierry vigneron#france#lille , france#june 29 , 1980
5.77 m#philippe houvion#france#paris , france#july 17 , 1980
5.78 m#władysław kozakiewicz#poland#moscow , soviet union#july 30 , 1980
5.80 m#thierry vigneron#france#mâcon , france#june 20 , 1981
5.81 m#vladimir polyakov#soviet union#tbilisi , georgia#june 26 , 1981
5.82 m#pierre quinon#france#cologne , germany#august 28 , 1983
5.83 m#thierry vigneron#france#rome , italy#september 1 , 1983
5.85 m#sergey bubka#soviet union#bratislava , czechoslovakia#may 26 , 1984
5.88 m#sergey bubka#soviet union#paris , france#june 2 , 1984
5.90 m#sergey bubka#soviet union#london , england#july 13 , 1984
5.91 m#thierry vigneron#france#rome , italy#august 31 , 1984
5.94 m#sergey bubka#soviet union#rome , italy#august 31 , 1984
6.00 m#sergey bubka#soviet union#paris , france#july 13 , 1985
6.01 m#sergey bubka#soviet union#moscow , soviet union#june 8 , 1986
6.03 m#sergey bubka#soviet union#prague , czechoslovakia#june 23 , 1987
6.05 m#sergey bubka#soviet union#bratislava , czechoslovakia#june 9 , 1988
6.06 m#sergey bubka#soviet union#nice , france#july 10 , 1988
6.07 m#sergey bubka#soviet union#shizuoka , japan#may 6 , 1991
6.08 m#sergey bubka#soviet union#moscow , soviet union#june 9 , 1991
6.09 m#sergey bubka#soviet union#formia , italy#july 8 , 1991
6.10 m#sergey bubka#soviet union#malmö , sweden#august 5 , 1991
6.11 m#sergey bubka#ukraine#dijon , france#june 13 , 1992
6.12 m#sergey bubka#ukraine#padua , italy#august 30 , 1992
6.13 m#sergey bubka#ukraine#tokyo , japan#september 19 , 1992
6.14 m a#sergey bubka#ukraine#sestriere , italy#july 31 , 1994
