class#part 1#part 2#part 3#part 4#verb meaning
1#rijden#reed#reden#gereden#to drive , to ride
2a#vriezen#vroor#vroren#gevroren#to freeze
2b#sluiten#sloot#sloten#gesloten#to close
3a#binden#bond#bonden#gebonden#to bind , to tie
3b#bergen#borg#borgen#geborgen#to protect , to store away
4#stelen#stal#stalen#gestolen#to steal
5#geven#gaf#gaven#gegeven#to give
6#graven#groef#groeven#gegraven#to dig
7b#lopen#liep#liepen#gelopen#to walk , to run
7c#vallen#viel#vielen#gevallen#to fall
7d#slapen#sliep#sliepen#geslapen#to sleep
7e#roepen#riep#riepen#geroepen#to call
