state#type#name#title#royal house#from
cai#sovereign#yi#marquis#ji#837 bc
cao#sovereign#you#count#-#835 bc
cao#sovereign#dai#count#-#826 bc
chen#sovereign#li#duke#-#831 bc
chu#sovereign#xiong yan the younger#viscount#mi#837 bc
chu#sovereign#xiong shuang#viscount#mi#827 bc
chu#sovereign#xiong xun#viscount#mi#821 bc
jin#sovereign#xi#marquis#ji#840 bc
jin#sovereign#xian#marquis#ji#822 bc
lu#sovereign#shen#duke#ji#854 bc
lu#sovereign#wu#duke#ji#825 bc
qi#sovereign#wu#duke#jiang#850 bc
qi#sovereign#li#duke#jiang#824 bc
qin#sovereign#qin zhong#ruler#ying#845 bc
qin#sovereign#zhuang#duke#ying#822 bc
song#sovereign#hui#duke#-#830 bc
wey#sovereign#li#marquis#-#855 bc
yan#sovereign#hui#marquis#-#864 bc
yan#sovereign#li#marquis#-#826 bc
