position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real gijón#38#54#23#8#7#77#32#+ 45
2#cd málaga#38#49#17#15#6#56#33#+ 23
3#rcd español#38#49#19#11#8#64#35#+ 29
4#real betis#38#47#16#15#7#44#34#+ 10
5#córdoba cf#38#43#17#9#12#40#40#0
6#rayo vallecano#38#41#14#13#11#41#32#+ 9
7#real oviedo#38#40#14#12#12#39#32#+ 7
8#cd san andrés#38#37#13#11#14#32#34#- 2
9#onteniente cf#38#36#15#6#17#34#33#+ 1
10#club ferrol#38#36#14#8#16#37#50#- 13
11#cd castellón#38#35#14#7#17#36#43#- 7
12#cf calvo sotelo#38#35#12#11#15#37#43#- 6
13#bilbao athletic#38#35#13#9#16#33#39#- 6
14#burgos cf#38#35#12#11#15#46#54#- 8
15#ca osasuna#38#33#12#9#17#52#57#- 5
16#cd ilicitano#38#32#11#10#17#46#59#- 13
17#real valladolid#38#32#12#8#18#45#59#- 14
18#real murcia#38#31#9#13#16#34#46#- 12
19#ud salamanca#38#30#11#8#19#35#54#- 19
20#cd orense#38#30#11#8#19#36#55#- 19
