translator call letters#b mountain channel#laurel mountain channel#psip#station call letters#network affiliation id#original channel#signal quality
k02hy#2#n / a#n / a#kcbs#cbs#43.1 , los angeles#good
k04hx#4#n / a#n / a#knbc#nbc#36.1 , los angeles#good
k05fo#5#n / a#n / a#ktla#cw#31.1 , los angeles#good
k07nh#7#n / a#n / a#kabc#abc#7.1 , los angeles#good
k09 mg#9#n / a#n / a#kcal#ind#9.1 , los angeles#good
k11 ml#11#n / a#n / a#kttv#fox#11.1 , los angeles#good
k13nf#13#n / a#n / a#kcop#mynetwork tv#13.1 , los angeles#good
k14at - d#n / a#14#64#khiz#ind#44 , barstow#good
k15hj - d#n / a#15#2#kcbs - dt#cbs#43 , los angeles#off air , dead power supply in transmitter
k17hy - d#n / a#17#4#knbc - dt#nbc#36 , los angeles#good
k41 go#n / a#19#n / a#n / a#n / a#n / a#not in service
k20lh - d#n / a#20#n / a#n / a#n / a#n / a#not in service
k21in - d#n / a#21#5#ktla - dt#cw#31 , los angeles#good
k23is - d#n / a#23#7#kabc - dt#abc#7 , los angeles#good
k33id - d#n / a#33#n / a#n / a#n / a#n / a#not in service
k35ho - d#n / a#35#41#k41 go#city#41 , ridgecrest#good
k39ht - d#n / a#39#58#klcs - dt#pbs#41 , los angeles#good
k45 gq - d#n / a#45#9#kcal - dt#ind#9 , los angeles#good
k47ae - d#n / a#47#11#kttv - dt#fox#11 , los angeles#good
k49aa - d#n / a#49#13#kcop - dt#mynetwork tv#13 , los angeles#good
k51dd - d#n / a#51#28#kcet - dt#ind public tv#28 , los angeles#good
