rank 2011#change since 2006#urban area#county#population 2011#increase since 2006
1#0#dublin#county dublin#1110627#6.2%
2#0#cork#county cork#198582#4.3%
3#0#limerick#county limerick#91454#0.8%
4#0#galway#county galway#76778#5.6%
5#0#waterford#county waterford & county kilkenny#51519#4.7%
6#0#drogheda#county louth & county meath#38578#9.9%
7#0#dundalk#county louth#37816#7.8%
8#0#swords#fingal#36924#8.6%
9#0#bray#county wicklow & county dublin#31872#- 0.1%
10#0#navan#county meath#28559#14.9%
11#0#ennis#county clare#25360#4.6%
12#1#kilkenny#county kilkenny#24423#10.1%
13#1#tralee#county kerry#23693#4.2%
14#0#carlow#county carlow & county laois#23030#11.1%
15#2#newbridge#county kildare#21561#16.4%
16#1#naas#county kildare#20713#3.3%
17#4#athlone#county westmeath & county roscommon#20153#14.9%
18#9#portlaoise#county laois#20145#37.9%
19#1#mullingar#county westmeath#20103#9.2%
20#1#wexford#county wexford#20072#10.5%
21#3#balbriggan#county dublin#19960#28.3%
22#2#letterkenny#county donegal#19588#11.4%
23#1#celbridge#county kildare#19537#13.2%
24#8#sligo#county sligo#19452#0.3%
25#2#clonmel#county tipperary & county waterford#17908#5.3%
26#3#greystones#county wicklow#17468#19.9%
27#2#malahide#county dublin#15846#6.1%
28#2#leixlip#county kildare#15452#5.3%
29#2#carrigaline#county cork#14775#15.1%
30#0#tullamore#county offaly#14361#11.1%
31#3#killarney#county kerry#14219#- 2.6%
32#1#arklow#county wicklow#13009#10.6%
33#2#maynooth#county kildare#12510#16.8%
34#0#cobh#county cork#12347#9.2%
35#3#castlebar#county mayo#12318#3.6%
36#3#midleton#county cork#12001#19.4%
37#0#mallow#county cork#11605#13.3%
38#9#ashbourne#county meath#11355#33.1%
39#3#ballina#county mayo#11086#6.5%
40#5#laytown - bettystown - mornington#county meath#10889#21.3%
41#0#enniscorthy#county wexford#10838#13.6%
42#4#wicklow#county wicklow#10356#2.8%
43#3#tramore#county waterford#10328#7.2%
44#7#cavan#county cavan#10205#29.5%
45#5#athy#county kildare#9926#20.8%
46#3#shannon#county clare#9673#4.9%
47#5#skerries#county dublin#9671#1.4%
48#2#longford#county longford#9601#8.7%
49#1#dungarvan#county waterford#9427#12.7%
50#6#portmarnock#county dublin#9285#3.4%
51#2#rush#county dublin#9231#11.4%
52#5#gorey#county wexford#9114#26.7%
53#3#ratoath#county meath#9043#24.7%
54#2#nenagh#county tipperary#8439#8.9%
55#5#trim#county meath#8268#20.3%
56#2#tuam#county galway#8242#19.7%
57#4#new ross#county wexford#8151#5.7%
58#3#kildare#county kildare#8142#8.0%
59#5#thurles#county tipperary#7933#3.3%
60#0#youghal#county cork#7794#14.9%
61#2#portarlington#county laois & county offaly#7788#29.7%
62#1#monaghan#county monaghan#7452#11.1%
63#10#lusk#county dublin#7022#34.1%
64#2#edenderry#county offaly#6977#18.5%
65#4#dunboyne#county meath#6959#21.8%
66#2#buncrana#county donegal#6839#15.7%
67#3#donabate#county dublin#6778#23.3%
68#11#clane#county kildare#6702#34.9%
69#7#ballinasloe#county galway & county roscommon#6659#5.6%
70#2#bandon#county cork#6640#14.1%
71#4#fermoy#county cork#6489#10.5%
72#3#newcastle west#county limerick#6327#24.1%
73#2#westport#county mayo#6063#10.7%
74#9#carrick - on - suir#county tipperary & county waterford#5931#0.4%
75#3#kells#county meath#5888#12.2%
76#0#birr#county offaly & county tipperary#5822#14.6%
77#15#kinsealy - drinan#county dublin#5814#59.2%
78#4#passage west#county cork#5790#11.3%
79#1#roscommon#county roscommon#5693#13.5%
80#7#kilcock#county kildare#5533#35.0%
81#1#roscrea#county tipperary#5403#7.3%
82#5#tipperary#county tipperary#5310#4.8%
83#8#sallins#county kildare#5283#38.8%
84#2#loughrea#county galway#5062#11.7%
85#5#blessington#county wicklow#5010#24.7%
86#5#ardee#county louth#4927#5.0%
87#4#carrickmacross#county monaghan#4925#12.3%
88#0#kinsale#county cork#4893#19.4%
89#4#ballybofey - stranorlar#county donegal#4852#16.2%
90#6#listowel#county kerry#4832#11.4%
91#3#oranmore#county galway#4799#36.6%
92#3#mountmellick#county laois#4735#16.4%
93#7#clonakilty#county cork#4721#13.6%
94#new#carrigtwohill#county cork#4551#63.6%
95#new#cashel#county tipperary#4051#38.0%
96#3#kilcoole#county wicklow#4049#24.5%
97#3#duleek#county meath#3988#23.2%
98#new#carrick - on - shannon#county leitrim#3980#25.8%
99#new#tullow#county carlow#3972#30.3%
