downstream#upstream#bandwidth#price tl#every 1 gb#max
10 mbit / s#1 mbit / s#20 gb#39 tl#3 tl#128 , 70 tl
10 mbit / s#1 mbit / s#40 gb#49 tl#3 tl#128 , 70 tl
10 mbit / s#1 mbit / s#80 gb#59 tl#3 tl#128 , 70 tl
20 mbit / s#2 mbit / s#20 gb#49 tl#3 tl#258 , 70 tl
20 mbit / s#2 mbit / s#40 gb#59 tl#3 tl#258 , 70 tl
20 mbit / s#2 mbit / s#80 gb#69 tl#3 tl#258 , 70 tl
40 mbit / s#4 mbit / s#20 gb#59 tl#3 tl#518 , 71 tl
40 mbit / s#4 mbit / s#40 gb#69 tl#3 tl#518 , 71 tl
40 mbit / s#4 mbit / s#80 gb#79 tl#3 tl#518 , 71 tl
60 mbit / s#4 mbit / s#20 gb#69 tl#3 tl#778 , 71 tl
60 mbit / s#4 mbit / s#40 gb#79 tl#3 tl#778 , 71 tl
60 mbit / s#4 mbit / s#80 gb#89 tl#3 tl#778 , 71 tl
