title#season#winner#score#runner - up#venue#attendance
30th#1993 - 4 details#meiji#41 - 12#hosei#national stadium , tokyo , tokyo#n / a
31st#1994 - 5 details#daito bunka university#22 - 17#meiji#national stadium , tokyo , tokyo#n / a
32nd#1995 - 6 details#meiji#43 - 9#waseda#national stadium , tokyo , tokyo#n / a
33rd#1996 - 7 details#meiji#32 - 22#waseda#national stadium , tokyo , tokyo#n / a
34th#1997 - 8 details#kanto gakuin university#30 - 17#meiji#national stadium , tokyo , tokyo#n / a
35th#1998 - 9 details#kanto gakuin university#47 - 28#meiji#national stadium , tokyo , tokyo#n / a
36th#1999 - 0 details#keio#42 - 15#kanto gakuin university#national stadium , tokyo , tokyo#n / a
37th#2000 - 1 details#kanto gakuin university#42 - 15#hosei#national stadium , tokyo , tokyo#n / a
38th#2001 - 2 details#kanto gakuin university#21 - 16#waseda#national stadium , tokyo , tokyo#n / a
39th#2002 - 3 details#waseda#27 - 22#kanto gakuin university#national stadium , tokyo , tokyo#n / a
40th#2003 - 4 details#kanto gakuin university#33 - 7#waseda#national stadium , tokyo , tokyo#n / a
41st#2004 - 5 details#waseda#31 - 19#kanto gakuin university#national stadium , tokyo , tokyo#35462
42nd#2005 - 6 details#waseda#41 - 5#kanto gakuin university#national stadium , tokyo , tokyo#30163
43rd#2006 - 7 details#kanto gakuin university#33 - 26#waseda#national stadium , tokyo , tokyo#31954
44th#2007 - 8 details#waseda#26 - 6#keio#national stadium , tokyo , tokyo#23694
45th#2008 - 9 details#waseda#20 - 10#teikyo#national stadium , tokyo , tokyo#22344
46th#2009 - 10 details#teikyo#14 - 13#tokai#national stadium , tokyo , tokyo#17569
47th#2010 - 11 details#teikyo#17 - 14#waseda#national stadium , tokyo , tokyo#25458
48th#2011 - 12 details#teikyo#15 - 12#tenri#national stadium , tokyo , tokyo#14407
49th#2012 - 13 details#teikyo#39 - 22#tsukuba#national stadium , tokyo , tokyo#20050
