player#position#tries#goals#points
robbie paul#fullback#23#0#92
tevita vaikona#wing#25#0#100
leon pryce#centre#16#0#64
nathan mcavoy#centre#4#0#16
michael withers#fullback#31#0#124
henry paul#stand off#9#208#457
paul deacon#scrum half#6#29#86
joe vagana#prop#2#0#8
james lowes#hooker#13#0#53
paul anderson#prop#8#0#32
daniel gartner#second row#14#0#56
mike forshaw#loose forward#6#0#24
lee gilmour#second row#8#0#32
shane rigon#centre#12#0#48
alex wilkinson#wing#0#0#0
lee radford#prop#2#0#8
jamie peacock#second row#8#0#32
scott naylor#centre#14#0#56
brian mcdermott#prop#3#0#12
graham mackay#wing#12#1#50
paul sykes#centre#0#0#0
rob parker#prop#0#0#0
stuart spruce#fullback#6#0#24
stuart fielden#prop#3#0#12
