year#domestic passengers#international passengers#total passengers#change
1999#2803907#6760931#9564028#+ 2.2%
2000#3042914#6967234#10010148#+ 4.7%
2001#2999672#7031246#10030918#+ 0.2%
2002#2747862#6862025#9609887#ˆ’4.2%
2003#2684618#7026302#9710920#+ 1.1%
2004#2836852#7893125#10729977#+ 10.5%
2005#2804304#8326285#11130589#+ 3.7%
2006#2927627#9220154#12147781#+ 9.1%
2007#2875289#10215455#13090744#+ 7.8%
2008#2700350#10726551#13426901#+ 2.2%
2009#2372844#10218762#12591606#ˆ’6.3%
2010#2208521#10674878#12883399#+ 2.2%
2011#2707044#12158827#14865871#+ 15.5%
2012#2693151#12165064#14858215#ˆ’0.1%
