quarterback#uniform no (s)#games started#wins#losses#ties#winning pct
sipe , brian#17#112#57#55#0#589
kosar , bernie#19#105#53#51#1#595
ryan , frank#13#76#52#22#2#697
graham , otto#60 , 14#71#57#13#1#810
couch , tim#2#59#22#37#0#373
nelsen , bill#16#51#34#16#1#676
phipps , mike#15#51#24#25#2#490
plum , milt#16#51#33#16#2#667
anderson , derek#3#34#16#18#0#471
testaverde , vinny#12#31#16#15#0#516
mcdonald , paul#16#21#8#13#0#381
mccoy , colt#12#21#6#15#0#286
frye , charlie#9#19#6#13#0#316
weeden , brandon#3#19#5#14#0#263
o'connell , tommy#15#14#10#3#1#750
holcomb , kelly#10#12#4#8#0#333
quinn , brady#10#12#3#9#0#250
ninowski , jim#15 , 11#11#5#6#0#455
dilfer , trent#8#11#4#7#0#364
garcia , jeff#5#10#3#7#0#300
danielson , gary#18#8#5#3#0#625
tomczak , mike#18#8#4#4#0#500
pederson , doug#18#8#1#7#0#125
pagel , mike#10#7#2#5#0#286
wallace , seneca#6#7#1#6#0#143
ratterman , george#12 , 16#5#2#3#0#400
philcox , todd#17#5#2#3#0#400
delhomme , jake#17#4#2#2#0#500
mays , dave#10#4#1#3#0#250
zeier , eric#10#4#1#3#0#250
mccown , luke#12#4#0#4#0#000
parilli , babe#18#3#1#2#0#333
rypien , mark#11#3#2#1#0#667
dorsey , ken#11#3#0#3#0#000
hoyer , brian#6#3#3#0#0#1.000
strock , don#12#2#2#0#0#1.000
christensen , jeff#11#2#1#1#0#500
detmer , ty#11#2#0#2#0#000
campbell , jason#17#2#1#1#0#500
gault , don#11#1#1#0#0#1.000
lane , gary#15#1#0#1#0#000
dawson , len#18#1#1#0#0#1.000
wynn , spergon#13#1#0#1#0#000
luck , terry#7#1#0#1#0#000
cureton , will#16#1#0#1#0#000
gradkowski , bruce#7#1#0#1#0#000
lewis , thaddeus#9#1#0#1#0#000
