name#period#starts#wins#losses#ties#win %
ron powlus#1994 - 1997#46#29#16#1#641
brady quinn#2003 - 2006#46#29#17#0#630
steve beuerlein#1983 - 1986#39#21#18#1#538
rick mirer#1990 - 1992#36#28#7#1#792
tom clements#1972 - 1974#34#29#5#0#853
jimmy clausen#2007 - 2009#34#16#18#0#471
tony rice#1987 - 1989#31#28#3#0#903
blair kiel#1980 - 1983#29#18#9#2#655
tommy rees#2010 - 2013#27#21#6#0#770
terry hanratty#1966 - 1968#26#21#4#1#827
joe theismann#1968 - 1970#25#20#3#2#840
joe montana#1975 - 1978#25#20#5#0#800
