date#visitor#score#home#leading scorer#attendance#record
february 5 , 2008#spurs#116 - 89#pacers#tim duncan (19)#11288#30 - 16
february 6 , 2008#spurs#85 - 77#wizards#tim duncan (23)#20173#31 - 16
february 8 , 2008#spurs#99 - 93#knicks#tim duncan (21)#19763#32 - 16
february 10 , 2008#spurs#90 - 98#celtics#tim duncan (22)#18624#32 - 17
february 11 , 2008#spurs#93 - 88#raptors#manu ginóbili (34)#19800#33 - 17
february 13 , 2008#spurs#112 - 105#cavaliers#manu ginóbili (46)#20562#34 - 17
february 19 , 2008#bobcats#65 - 85#spurs#manu ginóbili (18)#18383#35 - 17
february 21 , 2008#spurs#100 - 99#timberwolves#manu ginóbili (44)#13920#36 - 17
february 23 , 2008#hornets#89 - 98#spurs#manu ginóbili (30)#18997#37 - 17
february 25 , 2008#hawks#74 - 89#spurs#tim duncan (23)#18113#38 - 17
february 28 , 2008#mavericks#94 - 97#spurs#tim duncan (31)#18797#39 - 17
