event#time#nationality#date#meet#location
50 m freestyle#24.48#belarus#16 july 2013#2013 universiade#kazan , russia
100 m freestyle#53.50#belarus#12 july 2013#2013 universiade#kazan , russia
200 m freestyle#1:57.31#russia#15 july 2013#2013 universiade#kazan , russia
400 m freestyle#4:06.11#italy#11 august 2007#2007 universiade#bangkok , thailand
800 m freestyle#8:25.59#switzerland#9 august 2007#2007 universiade#bangkok , thailand
1500 m freestyle#16:04.44#united states#13 july 2013#2013 universiade#kazan , russia
50 m backstroke#27.89#russia#15 july 2013#2013 universiade#kazan , russia
100 m backstroke#59.83#russia#13 july 2013#2013 universiade#kazan , russia
200 m backstroke#2:08.91#great britain#6 july 2009#2009 universiade#belgrade , serbia
50 m breaststroke#30.12#russia#16 july 2013#2013 universiade#kazan , russia
100 m breaststroke#1:05.48#russia#12 july 2013#2013 universiade#kazan , russia
200 m breaststroke#2:22.32#japan#9 july 2009#2009 universiade#belgrade , serbia
50 m butterfly#25.84#belarus#11 july 2013#2013 universiade#kazan , russia
100 m butterfly#57.63#canada#14 july 2013#2013 universiade#kazan , russia
200 m butterfly#2:06.83#canada#14 august 2007#2007 universiade#bangkok , thailand
200 m individual medley#2:12.07#united states#8 july 2009#2009 universiade#belgrade , serbia
400 m individual medley#4:37.50#ukraine#12 august 2007#2007 universiade#bangkok , thailand
4100 m freestyle relay#3:38.15#russia#10 july 2013#2013 universiade#kazan , russia
4200 m freestyle relay#7:55.02#united states#17 august 2011#2011 universiade#shenzhen , china
4100 m medley relay#3:58.04#russia#16 july 2013#2013 universiade#kazan , russia
