res#record#opponent#method#event#round#location
loss#11 - 9#branden lee hinkle#tko (punches)#dfl 1 - the big bang#1#atlantic city , new jersey , united states
loss#11 - 8#ray sefo#tko (injury)#strikeforce challengers : kennedy vs cummings#2#bixby , oklahoma , united states
win#11 - 7#patrick smith#decision (unanimous)#american steel cagefighting#3#salem , new hampshire , united states
loss#10 - 7#joel wyatt#decision (split)#rie - battle at the burg 1#3#harrisonburg , virginia , united states
loss#10 - 6#marcos santa cruz#decision (unanimous)#ffp - untamed 22#3#plymouth , massachusetts , united states
win#10 - 5#carlos moreno#submission (strikes)#bcx 3 - battle cage xtreme 3#3#atlantic city , new jersey , united states
win#9 - 5#chris herring#submission (strikes)#wild bill 's - fight night 6#1#duluth , georgia , united states
loss#8 - 5#josh diekman#tko (injury)#ffp - untamed 3#1#brockton , massachusetts , united states
loss#8 - 4#gabriel gonzaga#ko (superman punch)#ufc 56#3#las vegas , nevada , united states
loss#8 - 3#paul buentello#submission (neck crank)#ufc 53#1#atlantic city , new jersey , united states
win#8 - 2#john dixon#decision (unanimous)#ffc 13 - freestyle fighting championships 13#3#biloxi , mississippi , united states
win#7 - 2#eric loveless#decision#ffc 11 - explosion#n / a#biloxi , mississippi , united states
win#6 - 2#kerry schall#submission (rear naked choke)#xfo 2 - new blood#1#fontana , wisconsin , united states
win#5 - 2#chris seifert#tko#ffc 8 - freestyle fighting championships 8#2#biloxi , mississippi , united states
win#4 - 2#jayme mckinney#submission (armbar)#xfc 1 - xtreme fight club 1#1#morgan city , louisiana , united states
win#3 - 2#sam holloway#tko#icb - international cage brawl#1#birmingham , alabama , united states
win#2 - 2#sean sallee#decision (majority)#tennessee shooto - conquest#2#clarksville , tennessee , united states
loss#1 - 2#travis wiuff#decision#uw - ultimate wrestling#3#minneapolis , minnesota , united states
loss#1 - 1#wesley correira#ko (punches)#sb 24 - return of the heavyweights 1#1#honolulu , united states
win#1 - 0#kelly williams#tko#bb 9 - fights , bikes , & babes#1#gainesville , georgia , united states
