district#vacator#reason for change#successor#date successor seated
new york 15th#vacant#rep - elect william dowse died on february 18 , 1813#john m bowers (f)#seated june 21 , 1813
pennsylvania 5th#robert whitehill (dr)#died april 8 , 1813#john rea (dr)#seated may 28 , 1813
new york 2nd#egbert benson (f)#resigned august 2 , 1813#william irving (dr)#seated january 22 , 1814
pennsylvania 3rd#john gloninger (f)#resigned august 2 , 1813#edward crouch (dr)#seated december 6 , 1813
pennsylvania 7th#john m hyneman (dr)#resigned august 2 , 1813#daniel udree (dr)#seated december 6 , 1813
illinois territory at - large#shadrach bond#until august 2 , 1813#benjamin stephenson#seated november 14 , 1814
tennessee 5th#felix grundy (dr)#resigned sometime in 1814#newton cannon (dr)#seated october 15 , 1814
kentucky 2nd#henry clay (dr)#resigned january 19 , 1814#joseph h hawkins (dr)#seated march 29 , 1814
virginia 11th#john dawson (dr)#died march 31 , 1814#philip barbour (dr)#seated september 19 , 1814
massachusetts 4th#william m richardson (dr)#resigned april 18 , 1814#samuel dana (dr)#seated september 22 , 1814
new jersey 3rd#jacob hufty (f)#died may 20 , 1814#thomas bines (dr)#seated november 2 , 1814
ohio 6th#reasin beall (dr)#resigned june 7 , 1814#david clendenin (dr)#seated december 22 , 1814
pennsylvania 3rd#james whitehill (dr)#resigned september 1 , 1814#amos slaymaker (f)#seated december 12 , 1814
