res#record#opponent#method#round#time#location
loss#23 - 10 - 2#nick diaz#tko (punches)#2#3:57#san jose , california , united states
loss#23 - 9 - 2#cung le#tko (injury)#3#5:00#san jose , california , united states
win#23 - 8 - 2#phil baroni#technical submission (rear - naked choke)#2#4:00#san jose , california , united states
loss#22 - 8 - 2#renzo gracie#dq (knees to downed opponent)#2#2:00#southaven , mississippi , united states
win#22 - 7 - 2#cesar gracie#ko (punches)#1#0:20#san jose , california , united states
win#21 - 7 - 2#bryan pardoe#submission (armbar)#1#1:46#lemoore , california , united states
win#20 - 7 - 2#elvis sinosic#decision (split)#5#3:00#tokyo , japan
win#19 - 7 - 2#tito ortiz#submission (elbow and punches)#4#4:42#lake charles , louisiana , united states
draw#18 - 7 - 2#kiyoshi tamura#draw#1#20:00#japan
win#18 - 7 - 1#john lober#submission (punches)#1#7:40#sao paulo , brazil
win#17 - 7 - 1#jeremy horn#submission (kneebar)#1#16:28#mobile , alabama , united states
win#16 - 7 - 1#igor zinoviev#ko (slam)#1#0:22#new orleans , louisiana , united states
win#15 - 7 - 1#kevin jackson#submission (armbar)#1#0:16#yokohama , japan
win#14 - 7 - 1#enson inoue#tko (punches)#2#7:17#tokyo , japan
win#13 - 7 - 1#wes gassaway#ko (punches)#1#11:54#texas , united states
win#12 - 7 - 1#tsuyoshi kohsaka#decision (unanimous)#1#30:00#japan
loss#11 - 7 - 1#john lober#technical decision (split)#1#30:00#honolulu , united states
loss#11 - 6 - 1#kiuma kunioku#decision (unanimous)#1#20:00#tokyo , japan
loss#11 - 5 - 1#yuki kondo#ko (head kick)#1#12:43#chiba , japan
win#11 - 4 - 1#manabu yamada#submission (rear naked choke)#1#12:44#tokyo , japan
loss#10 - 4 - 1#bas rutten#tko (doctor stoppage)#1#11:11#tokyo , japan
win#10 - 3 - 1#osami shibuya#decision (unanimous)#1#15:00#tokyo , japan
win#9 - 3 - 1#ryushi yanagisawa#decision (unanimous)#1#20:00#kobe , japan
win#8 - 3 - 1#minoru suzuki#submission (kneebar)#1#22:53#yokohama , japan
win#7 - 3 - 1#vernon white#submission (achilles lock)#1#5:23#sapporo , japan
win#6 - 3 - 1#masakatsu funaki#submission (toehold)#1#10:31#yokohama , japan
win#5 - 3 - 1#takafumi ito#submission (rear - naked choke)#1#7:23#tokyo , japan
loss#4 - 3 - 1#bas rutten#decision (split)#1#15:00#tokyo , japan
win#4 - 2 - 1#takaku fuke#submission (rear - naked choke)#1#8:16#sapporo , hokkaido , japan
draw#3 - 2 - 1#allan goes#draw#1#10:00#chiba , chiba , japan
win#3 - 2#minoru suzuki#ko (punches)#1#3:23#nagoya , japan
loss#2 - 2#masakatsu funaki#submission (toehold)#1#5:11#yokohama , kanagawa , japan
win#2 - 1#katsuomi inagaki#submission (armbar)#1#6:14#nagoya , aichi , japan
loss#1 - 1#manabu yamada#submission (achilles lock)#1#8:38#tokyo , japan
win#1 - 0#bas rutten#decision (majority)#1#10:00#tokyo , japan
