sd#rk#player#points#points defending#points won#new points#status
1#1#rafael nadal#12390#360#360#12390#quarterfinals lost to david ferrer
2#2#roger federer#9245#2000#720#7965#semifinals lost to novak djokovic
3#3#novak djokovic#6240#360#2000#7880#champion , won against andy murray
4#4#robin söderling#5785#10#180#5955#fourth round lost to alexandr dolgopolov
5#5#andy murray#5760#1200#1200#5760#final lost against novak djokovic
6#6#tomáš berdych#3955#45#360#4270#quarterfinals lost to novak djokovic
7#7#david ferrer#3895#45#720#4570#semifinals lost to andy murray
8#8#andy roddick#3565#360#180#3385#fourth round lost to stanislas wawrinka
9#9#fernando verdasco#3240#180#180#3240#fourth round lost to tomáš berdych
10#10#mikhail youzhny#2920#90#90#2920#third round lost to milos raonic
11#11#jürgen melzer#2785#10#180#2955#fourth round lost to andy murray
12#12#gaël monfils#2560#90#90#2560#third round lost to stanislas wawrinka
13#13#jo - wilfried tsonga#2345#720#90#1715#third round lost to alexandr dolgopolov
14#14#nicolás almagro#2160#180#180#2160#fourth round lost to novak djokovic
15#15#marin čilić#2140#720#180#1600#fourth round lost to rafael nadal
16#16#mardy fish#1921#10#45#1956#second round lost to tommy robredo
17#17#ivan ljubičić#1965#90#90#1965#third round lost to nicolás almagro
18#18#sam querrey#1860#10#10#1860#first round lost to łukasz kubot
19#19#stanislas wawrinka#1855#90#360#2125#quarterfinals lost to roger federer
20#20#john isner#1645#180#90#1555#third round lost to marin čilić
21#21#marcos baghdatis#1580#90#90#1580#third round lost to jürgen melzer
22#22#michaël llodra#1575#45#45#1575#second round lost to milos raonic
23#23#nikolay davydenko#1555#360#10#1205#first round lost to florian mayer
24#24#ernests gulbis#1575#10#10#1575#first round lost to benjamin becker
25#25#albert montañés#1495#90#45#1450#second round lost to xavier malisse
26#26#juan mónaco#1480#90#45#1435#second round lost to robin haase
27#27#david nalbandian#1610#0#45#1655#second round lost to ričardas berankis
28#29#richard gasquet#1280#10#90#1360#third round lost to tomáš berdych
29#30#viktor troicki#1445#45#90#1535#third round lost to novak djokovic
30#31#thomaz bellucci#1355#45#45#1355#second round lost to jan hernych
31#32#feliciano lópez#1310#90#45#1265#second round lost to bernard tomic
