human gene (protein)#mouse ortholog#yeast ortholog#subpathway#genecards entry
ccnh ( cyclin h )#ccnh#ccl1#both#ccnh
cdk7 ( cyclin dependent kinase (cdk) 7) )#cdk7#kin28#both#cdk7
cetn2 (centrin - 2)#cetn2#unknown#ggr#cetn2
ddb1 ( ddb1 )#ddb1#unknown#ggr#ddb1
ddb2 ( ddb2 )#ddb2 / xpe#unknown#ggr#ddb2
ercc1 ( ercc1 )#ercc1#rad10#both#ercc1
ercc2 ( xpd )#ercc2#rad3#both#ercc2
ercc3 ( xpb )#ercc3#rad25#both#ercc3
ercc4 ( xpf )#ercc4#rad1#both#ercc4
ercc5 ( xpg )#ercc5#rad2#both#ercc5
ercc6 ( csb )#ercc6#rad26#tc - ner#ercc6
ercc8 ( csa )#ercc8#rad28#tc - ner#ercc8
lig1 ( dna ligase i )#lig1#cdc9#both#lig1
mnat1 ( mnat1 )#mnat1#tfb3#both#mnat1
mms19 ( mms19 )#mms19#met18#both#mms19
rad23a ( rad23a )#rad23a#rad23#ggr#rad23a
rad23b ( rad23b )#rad23b#rad23#ggr#rad23b
rpa1 ( rpa1 )#rpa1#rfa1#both#rpa1
rpa2 ( rpa2 )#rpa2#rfa2#both#rpa2
tfiih ( transcription factor ii h )#unknown#unknown#both#no genecards
xab2 ( xab2 )#xab2#syf1#tc - ner#xab2
xpa ( xpa )#xpa#rad14#both#xpa
xpc ( xpc )#xpc#rad4#ggr#xpc
