season#episodes#season premiere#season finale#tv season#rank#households (millions)
1#22#september 30 , 1984#april 21 , 1985#1984 / 85#8#17.06
2#22#september 29 , 1985#may 18 , 1986#1985 / 86#3#21.73
3#22#september 28 , 1986#may 10 , 1987#1986 / 87#4#22.19
4#22#september 20 , 1987#may 8 , 1988#1987 / 88#9#17.89
5#22#october 23 , 1988#may 21 , 1989#1988 / 89#8#17.98
6#22#september 24 , 1989#may 20 , 1990#1989 / 90#13#16.30
7#22#september 16 , 1990#may 12 , 1991#1990 / 91#12#15.26
8#22#september 15 , 1991#may 17 , 1992#1991 / 92#8#15.56
9#22#september 20 , 1992#may 16 , 1993#1992 / 93#5#16.47
10#21#september 12 , 1993#may 22 , 1994#1993 / 94#11#15.07
11#21#september 25 , 1994#may 14 , 1995#1994 / 95#8#14.88
12#24#september 21 , 1995#may 19 , 1996#1995 / 96#58#9.50
