year#result#award#film or series#character
1999#nominated#national television awards#eastenders#dot cotton
2000#nominated#national television awards#eastenders#dot cotton
2000#nominated#british soap awards#eastenders#dot cotton
2000#won#tv quick and choice awards#eastenders#dot cotton
2001#nominated#national television awards#eastenders#dot cotton
2001#nominated#british soap awards#eastenders#dot cotton
2001#won#inside soap awards#eastenders#dot cotton
2001#nominated#tv quick and choice awards#eastenders#dot cotton
2002#nominated#national television awards#eastenders#dot cotton
2002#nominated#british soap awards#eastenders#dot cotton
2002#won#british soap awards#eastenders#dot cotton
2004#nominated#british soap awards#eastenders#dot cotton
2005#nominated#national television awards#eastenders#dot cotton
2005#nominated#british soap awards#eastenders#dot cotton
2005#won#british soap awards#eastenders#dot cotton
2005#won#inside soap awards#eastenders#dot cotton
2005#nominated#tv quick and choice awards#eastenders#dot cotton
2007#nominated#national television awards#eastenders#dot cotton
2008#nominated#tric awards#eastenders#dot cotton
2009#nominated#national television awards#eastenders#dot cotton
2009#nominated#bafta awards#eastenders#dot cotton
