position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real oviedo#38#51 + 13#21#9#8#40#19#+ 21
2#cd castellón#38#50 + 12#21#8#9#50#29#+ 21
3#real zaragoza#38#50 + 12#21#8#9#66#31#+ 35
4#elche cf#38#49 + 11#20#9#9#47#21#+ 26
5#cultural leonesa#38#42 + 4#18#6#14#55#53#+ 2
6#cd logroñés#38#41 + 3#16#9#13#39#36#+ 3
7#real valladolid#38#39 + 1#16#7#15#50#45#+ 5
8#rayo vallecano#38#39 + 1#14#11#13#37#40#- 3
9#cd tenerife#38#38#14#10#14#48#33#+ 15
10#cd san andrés#38#38#15#8#15#36#33#+ 3
11#pontevedra cf#38#36 - 2#13#10#15#38#45#- 7
12#rcd mallorca#38#36 - 2#11#14#13#25#33#- 8
13#cd mestalla#38#34 - 4#11#12#15#31#47#- 16
14#hércules cf#38#34 - 4#13#8#17#43#40#+ 3
15#real santander#38#34 - 4#14#6#18#33#45#- 18
16#cádiz cf#38#34 - 4#14#6#18#38#43#- 5
17#villarreal cf#38#32 - 6#10#12#16#30#48#- 18
18#ferrol#38#29 - 9#10#9#19#31#58#- 27
19#jerez deportivo#38#27 - 11#6#15#17#26#49#- 23
20#up langreo#38#27 - 11#11#5#22#38#53#- 15
