no#player#height#position#year born#current club
4#sandi čebular#1.94#guard#1986#unattached
5#jaka lakovič#1.86#guard#1978#axa fc barcelona
6#aleksandar ćapin#1.86#guard#1982#whirlpool varese
7#goran dragić#1.88#guard#1986#tau cerámica
8#rasho nesterovič#2.14#center#1976#toronto raptors
9#matjaž smodiš#2.05#forward#1979#cska moscow
10#uroš slokar#2.09#center#1983#triumph lyubertsy
11#jaka klobučar#1.94#guard#1987#geoplin slovan
12#goran jagodnik#2.02#forward#1974#hemofarm
13#domen lorbek#1.96#guard#1985#mmt estudiantes
14#gašper vidmar#2.08#center#1987#fenerbahçe ülker
