date#tournament#surface#opponent#score
september 25 , 2000#kawaguchi#hard#leigh holland#6 - 1 , 6 - 2
january 8 , 2001#jorhat#clay#fabio maggi#7 - 6 , 7 - 5
october 8 , 2001#santo domingo#clay#josé de armas#6 - 4 , 6 - 0
january 21 , 2002#dubai#hard#jaroslav levinský#w / o
august 25 , 2003#enschede#clay#robert lindstedt#6 - 3 , 3 - 6 , 6 - 3
november 1 , 2004#bangkok#hard#ruben de kleijn#6 - 4 , 6 - 0
june 27 , 2005#heerhugowaard#clay#nicolas todero#6 - 4 , 6 - 2
july 4 , 2005#kassel#clay#sascha kloer#6 - 2 , 6 - 1
september 3 , 2007#düsseldorf#clay#andreas haider - maurer#6 - 7 , 6 - 2 , 6 - 4
november 5 , 2007#eckental#carpet#roko karanušić#w / o
november 3 , 2008#eckental#carpet#roko karanušić#6 - 2 , 7 - 5
may 23 , 2010#cremona#hard#marius copil#6 - 4 , 7 - 5
july 5 , 2010#scheveningen#clay#thomas schoorel#7 - 5 , 6 - 4
july 19 , 2010#poznań#clay#andrey kuznetsov#6 - 1 , 6 - 2
